!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# Shaft  g  6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# Hole   H  7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Key     C_10     C_11     CD_10     CD_11     D_10     D_11     D_8     D_9     E_7     E_8     E_9     F_7     F_8     F_9     G_6     G_7     H__01     H__1     H_2     H_3     H_4     H_5     H_6     H_7     H_8     H_9     H__10     H__11     H__12     H__13     H__14     H__15     H__16     H__17     H_18     JS_01     JS_1     JS_2     JS_3     JS_4     JS_5     JS_6     JS_7     JS_8     JS_9     JS_10     JS_11     JS_12     JS_13     JS_14     JS_15     JS_16     JS_17     JS_18     K_6     K_7     M_6     M_7     N_6     N_7     P_7     R_7     S_7     T_7     U_8     c_10     c_11     cd_10     cd_11     d_10     d_11     d_8     d_9     e_7     e_8     e_9     f_6     f_7     f_8     f_9     g_6     g_7     h_01     h_1     h_2     h_3     h_4     h_5     h_6     h_7     h_8     h_9     h_10     h_11     h_12     h_13     h_14     h_15     h_16     h_17     h_18     js_01     js_1     js_2     js_3     js_4     js_5     js_6     js_7     js_8     js_9     js_10     js_11     js_12     js_13     js_14     js_15     js_16     js_17     js_18     k_6     k_7     m_6     n_6     n_7     p_6     p_7     r_6     r_7     s_6     s_7     t_6     t_7     t_8     u_6     u_7     u_8     v_7     v_8
Basic size(mm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
800~900     E     0.78     0.5     E     0.32     0.32     0.32     0.32     0.17     0.17     0.17     0.086     0.086     0.086     0.026     0.026     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.00275     -0.0055     -0.0075     -0.0105     -0.0145     -0.02     -0.028     -0.045     -0.07     -0.115     -0.18     -0.28     -0.45     -0.7     -1.15     -1.8     -2.8     -4.5     -7     -0.056     -0.09     -0.09     -0.124     -0.112     -0.146     -0.19     -0.3     -0.52     -0.71     -1.08     E     -1.34     E     -1.06     -0.68     -0.88     -0.46     -0.55     -0.26     -0.31     -0.4     -0.142     -0.176     -0.226     -0.316     -0.082     -0.116     -0.0055     -0.011     -0.015     -0.021     -0.029     -0.04     -0.056     -0.09     -0.14     -0.23     -0.36     -0.56     -0.9     -1.4     -2.3     -3.6     -5.6     -9     -14     -0.00275     -0.0055     -0.0075     -0.0105     -0.0145     -0.02     -0.028     -0.045     -0.07     -0.115     -0.18     -0.28     -0.45     -0.7     -1.15     -1.8     -2.8     -4.5     -7     0     0     0.034     0.056     0.056     0.1     0.1     0.21     0.21     0.43     0.43     0.62     0.62     0.62     0.94     0.94     0.94     1.15     1.15
900~1000     E     1.42     1.08     E     0.68     0.88     0.46     0.55     0.26     0.31     0.4     0.176     0.226     0.316     0.082     0.116     0.0055     0.011     0.015     0.021     0.029     0.04     0.056     0.09     0.14     0.23     0.36     0.56     0.9     1.4     2.3     3.6     5.6     9     14     0.00275     0.0055     0.0075     0.0105     0.0145     0.02     0.028     0.045     0.07     0.115     0.18     0.28     0.45     0.7     1.15     1.8     2.8     4.5     7     0     0     -0.034     -0.034     -0.056     -0.056     -0.1     -0.22     -0.47     -0.68     -1.05     E     -0.86     E     -0.52     -0.32     -0.32     -0.32     -0.32     -0.17     -0.17     -0.17     -0.086     -0.086     -0.086     -0.086     -0.026     -0.026     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.00275     0.0055     0.0075     0.0105     0.0145     0.02     0.028     0.045     0.07     0.115     0.18     0.28     0.45     0.7     1.15     1.8     2.8     4.5     7     0.056     0.09     0.09     0.112     0.146     0.156     0.19     0.276     0.31     0.526     0.56     0.736     0.77     0.82     1.106     1.14     1.19     1.39     1.44
900~1000     E     0.86     0.52     E     0.32     0.32     0.32     0.32     0.17     0.17     0.17     0.086     0.086     0.086     0.026     0.026     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.00275     -0.0055     -0.0075     -0.0105     -0.0145     -0.02     -0.028     -0.045     -0.07     -0.115     -0.18     -0.28     -0.45     -0.7     -1.15     -1.8     -2.8     -4.5     -7     -0.056     -0.09     -0.09     -0.124     -0.112     -0.146     -0.19     -0.31     -0.56     -0.77     -1.19     E     -1.42     E     -1.08     -0.68     -0.88     -0.46     -0.55     -0.26     -0.31     -0.4     -0.142     -0.176     -0.226     -0.316     -0.082     -0.116     -0.0055     -0.011     -0.015     -0.021     -0.029     -0.04     -0.056     -0.09     -0.14     -0.23     -0.36     -0.56     -0.9     -1.4     -2.3     -3.6     -5.6     -9     -14     -0.00275     -0.0055     -0.0075     -0.0105     -0.0145     -0.02     -0.028     -0.045     -0.07     -0.115     -0.18     -0.28     -0.45     -0.7     -1.15     -1.8     -2.8     -4.5     -7     0     0     0.034     0.056     0.056     0.1     0.1     0.22     0.22     0.47     0.47     0.68     0.68     0.68     1.05     1.05     1.05     1.3     1.3
1000~1120     E     1.6     E     1.24     0.77     1.01     0.515     0.61     0.3     0.36     0.455     0.203     0.263     0.358     0.094     0.133     0.0065     0.013     0.018     0.024     0.034     0.046     0.066     0.105     0.165     0.26     0.42     0.66     1.05     1.65     2.6     4.2     6.6     10.5     16.5     0.00325     0.0065     0.009     0.012     0.017     0.023     0.033     0.0525     0.0825     0.13     0.21     0.33     0.525     0.825     1.3     2.1     3.3     5.25     8.25     0     0     -0.04     -0.04     -0.066     -0.066     -0.12     -0.25     -0.52     -0.78     -1.15     E     -0.94     E     -0.58     -0.35     -0.35     -0.35     -0.35     -0.195     -0.195     -0.195     -0.098     -0.098     -0.098     -0.098     -0.028     -0.028     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.00325     0.0065     0.009     0.012     0.017     0.023     0.033     0.0525     0.0825     0.13     0.21     0.33     0.525     0.825     1.3     2.1     3.3     5.25     8.25     0.066     0.105     0.106     0.132     0.171     0.186     0.225     0.316     0.355     0.586     0.625     0.846     0.885     0.945     1.216     1.255     1.315     1.555     1.615
1000~1120     E     0.94     E     0.58     0.35     0.35     0.35     0.35     0.195     0.195     0.195     0.098     0.098     0.098     0.028     0.028     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.00325     -0.0065     -0.009     -0.012     -0.017     -0.023     -0.033     -0.0525     -0.0825     -0.13     -0.21     -0.33     -0.525     -0.825     -1.3     -2.1     -3.3     -5.25     -8.25     -0.066     -0.105     -0.106     -0.145     -0.132     -0.171     -0.225     -0.355     -0.625     -0.885     -1.315     E     -1.6     E     -1.24     -0.77     -1.01     -0.515     -0.61     -0.3     -0.36     -0.455     -0.164     -0.203     -0.263     -0.358     -0.094     -0.133     -0.0065     -0.013     -0.018     -0.024     -0.034     -0.046     -0.066     -0.105     -0.165     -0.26     -0.42     -0.66     -1.05     -1.65     -2.6     -4.2     -6.6     -10.5     -16.5     -0.00325     -0.0065     -0.009     -0.012     -0.017     -0.023     -0.033     -0.0525     -0.0825     -0.13     -0.21     -0.33     -0.525     -0.825     -1.3     -2.1     -3.3     -5.25     -8.25     0     0     0.04     0.066     0.066     0.12     0.12     0.25     0.25     0.52     0.52     0.78     0.78     0.78     1.15     1.15     1.15     1.45     1.45
1120~1250     E     1.71     E     1.26     0.77     1.01     0.515     0.61     0.3     0.36     0.455     0.203     0.263     0.358     0.094     0.133     0.0065     0.013     0.018     0.024     0.034     0.046     0.066     0.105     0.165     0.26     0.42     0.66     1.05     1.65     2.6     4.2     6.6     10.5     16.5     0.00325     0.0065     0.009     0.012     0.017     0.023     0.033     0.0525     0.0825     0.13     0.21     0.33     0.525     0.825     1.3     2.1     3.3     5.25     8.25     0     0     -0.04     -0.04     -0.066     -0.066     -0.12     -0.26     -0.58     -0.84     -1.3     E     -1.05     E     -0.6     -0.35     -0.35     -0.35     -0.35     -0.195     -0.195     -0.195     -0.098     -0.098     -0.098     -0.098     -0.028     -0.028     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.00325     0.0065     0.009     0.012     0.017     0.023     0.033     0.0525     0.0825     0.13     0.21     0.33     0.525     0.825     1.3     2.1     3.3     5.25     8.25     0.066     0.105     0.106     0.132     0.171     0.186     0.225     0.326     0.365     0.646     0.685     0.906     0.945     1.005     1.366     1.405     1.465     1.705     1.765
1120~1250     E     1.05     E     0.6     0.35     0.35     0.35     0.35     0.195     0.195     0.195     0.098     0.098     0.098     0.028     0.028     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.00325     -0.0065     -0.009     -0.012     -0.017     -0.023     -0.033     -0.0525     -0.0825     -0.13     -0.21     -0.33     -0.525     -0.825     -1.3     -2.1     -3.3     -5.25     -8.25     -0.066     -0.105     -0.106     -0.145     -0.132     -0.171     -0.225     -0.365     -0.685     -0.945     -1.465     E     -1.71     E     -1.26     -0.77     -1.01     -0.515     -0.61     -0.3     -0.36     -0.455     -0.164     -0.203     -0.263     -0.358     -0.094     -0.133     -0.0065     -0.013     -0.018     -0.024     -0.034     -0.046     -0.066     -0.105     -0.165     -0.26     -0.42     -0.66     -1.05     -1.65     -2.6     -4.2     -6.6     -10.5     -16.5     -0.00325     -0.0065     -0.009     -0.012     -0.017     -0.023     -0.033     -0.0525     -0.0825     -0.13     -0.21     -0.33     -0.525     -0.825     -1.3     -2.1     -3.3     -5.25     -8.25     0     0     0.04     0.066     0.066     0.12     0.12     0.26     0.26     0.58     0.58     0.84     0.84     0.84     1.3     1.3     1.3     1.6     1.6
1250~1400     E     1.93     E     1.44     0.89     1.17     0.585     0.7     0.345     0.415     0.53     0.235     0.305     0.42     0.108     0.155     0.008     0.015     0.021     0.029     0.04     0.054     0.078     0.125     0.195     0.31     0.5     0.78     1.25     1.95     3.1     5     7.8     12.5     19.5     0.004     0.0075     0.0105     0.0145     0.02     0.027     0.039     0.0625     0.0975     0.155     0.25     0.39     0.625     0.975     1.55     2.5     3.9     6.25     9.75     0     0     -0.048     -0.048     -0.078     -0.078     -0.14     -0.3     -0.64     -0.96     -1.45     E     -1.15     E     -0.66     -0.39     -0.39     -0.39     -0.39     -0.22     -0.22     -0.22     -0.11     -0.11     -0.11     -0.11     -0.03     -0.03     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.004     0.0075     0.0105     0.0145     0.02     0.027     0.039     0.0625     0.0975     0.155     0.25     0.39     0.625     0.975     1.55     2.5     3.9     6.25     9.75     0.078     0.125     0.126     0.156     0.203     0.218     0.265     0.378     0.425     0.718     0.765     1.038     1.085     1.155     1.528     1.575     1.645     1.925     1.995
1250~1400     E     1.15     E     0.66     0.39     0.39     0.39     0.39     0.22     0.22     0.22     0.11     0.11     0.11     0.03     0.03     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.004     -0.0075     -0.0105     -0.0145     -0.02     -0.027     -0.039     -0.0625     -0.0975     -0.155     -0.25     -0.39     -0.625     -0.975     -1.55     -2.5     -3.9     -6.25     -9.75     -0.078     -0.125     -0.126     -0.173     -0.156     -0.203     -0.265     -0.425     -0.765     -1.085     -1.645     E     -1.93     E     -1.44     -0.89     -1.17     -0.585     -0.7     -0.345     -0.415     -0.53     -0.188     -0.235     -0.305     -0.42     -0.108     -0.155     -0.008     -0.015     -0.021     -0.029     -0.04     -0.054     -0.078     -0.125     -0.195     -0.31     -0.5     -0.78     -1.25     -1.95     -3.1     -5     -7.8     -12.5     -19.5     -0.004     -0.0075     -0.0105     -0.0145     -0.02     -0.027     -0.039     -0.0625     -0.0975     -0.155     -0.25     -0.39     -0.625     -0.975     -1.55     -2.5     -3.9     -6.25     -9.75     0     0     0.048     0.078     0.078     0.14     0.14     0.3     0.3     0.64     0.64     0.96     0.96     0.96     1.45     1.45     1.45     1.8     1.8
1400~1600     E     2.08     E     1.5     0.89     1.17     0.585     0.7     0.345     0.415     0.53     0.235     0.305     0.42     0.108     0.155     0.008     0.015     0.021     0.029     0.04     0.054     0.078     0.125     0.195     0.31     0.5     0.78     1.25     1.95     3.1     5     7.8     12.5     19.5     0.004     0.0075     0.0105     0.0145     0.02     0.027     0.039     0.0625     0.0975     0.155     0.25     0.39     0.625     0.975     1.55     2.5     3.9     6.25     9.75     0     0     -0.048     -0.048     -0.078     -0.078     -0.14     -0.33     -0.72     -1.05     -1.6     E     -1.3     E     -0.72     -0.39     -0.39     -0.39     -0.39     -0.22     -0.22     -0.22     -0.11     -0.11     -0.11     -0.11     -0.03     -0.03     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.004     0.0075     0.0105     0.0145     0.02     0.027     0.039     0.0625     0.0975     0.155     0.25     0.39     0.625     0.975     1.55     2.5     3.9     6.25     9.75     0.078     0.125     0.126     0.156     0.203     0.218     0.265     0.408     0.455     0.798     0.845     1.128     1.175     1.245     1.678     1.725     1.795     2.125     2.195
