Key     A_9     A_11     A_13     B_9     B_11     B_12     B_13     C_8     C_9     C_11     C_12     C_13     CD_9     D_6     D_7     D_8     D_9     D_10     D_11     D_12     E_5     E_6     E_7     E_8     E_9     E_10     F_5     F_6     F_7     F_8     F_9     F_10     FG_5     FG_6     G_5     G_6     G_7     H_01     H_1     H_2     H_3     H_4     H_5     H_6     H_7     H_8     H_9     H_10     H_11     H_12     H_13     H_14     H_15     H_16     H_17     H_18     J_6     J_7     J_8     JS_01     JS_1     JS_2     JS_3     JS_4     JS_5     JS_6     JS_7     JS_8     JS_9     JS_10     JS_11     JS_12     JS_13     JS_14     JS_15     JS_16     JS_17     JS_18     K_5     K_6     K_7     K_8     M_5     M_6     M_7     M_8     N_5     N_6     N_7     N_8     N_9     N_10     P_5     P_6     P_7     P_8     P_9     R_6     R_7     R_8     S_6     S_7     T_6     T_7     U_7     U_8     Z_8     a_9     a_11     a_13     b_9     b_11     b_12     b_13     c_8     c_9     c_11     c_12     cd_9     d_6     d_7     d_8     d_9     d_10     d_11     d_12     e_5     e_6     e_7     e_8     e_9     f_4     f_5     f_6     f_7     f_8     f_9     fg_4     fg_5     fg_6     g_4     g_5     g_6     g_7     g_8     h_01     h_1     h_2     h_3     h_4     h_5     h_6     h_7     h_8     h_9     h_10     h_11     h_12     h_13     h_14     h_15     h_16     h_17     h_18     j_5     j_6     j_7     js_01     js_1     js_2     js_3     js_4     js_5     js_6     js_7     js_8     js_9     js_10     js_11     js_12     js_13     js_14     js_15     js_16     js_17     js_18     k_4     k_5     k_6     k_7     m_4     m_5     m_6     m_7     n_4     n_5     n_6     n_7     p_4     p_5     p_6     p_7     r_5     r_6     r_7     s_5     s_6     s_7     s_8     t_5     t_6     t_7     u_5     u_6     u_7     u_8     v_6     v_7     x_6     x_7     x_8     x_9     z_6     z_7     z_8     z_9     za_8     zc_8     zd_8
Basic size(mm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
14~18     0.29     0.29     0.29     0.15     0.15     0.15     0.15     0.095     0.095     0.095     0.095     0.095     0     0.05     0.05     0.05     0.05     0.05     0.05     0.05     0.032     0.032     0.032     0.032     0.032     0.032     0     0     0     0     0     0.016     0     0     0.006     0.006     0.006     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.005     -0.008     -0.012     -0.00025     -0.0006     -0.001     -0.0015     -0.0025     -0.004     -0.0055     -0.009     -0.013     -0.021     -0.035     -0.055     -0.09     -0.135     -0.215     -0.35     -0.55     -0.9     -1.35     -0.006     -0.009     -0.012     -0.019     -0.012     -0.015     -0.018     -0.025     -0.017     -0.02     -0.023     -0.03     -0.055     -0.082     -0.023     -0.026     -0.029     -0.045     -0.061     -0.031     -0.034     -0.05     -0.036     -0.039     -0.008     -0.011     -0.044     -0.06     -0.087     -0.333     -0.4     -0.56     -0.193     -0.26     -0.33     -0.42     -0.122     -0.138     -0.205     -0.275     -0.043     -0.061     -0.068     -0.077     -0.093     -0.12     -0.16     -0.23     -0.04     -0.043     -0.05     -0.059     -0.075     -0.021     -0.024     -0.027     -0.034     -0.043     -0.059     -0.005     -0.008     -0.011     -0.011     -0.014     -0.017     -0.024     -0.033     -0.0005     -0.0012     -0.002     -0.003     -0.005     -0.008     -0.011     -0.018     -0.027     -0.043     -0.07     -0.11     -0.18     -0.27     -0.43     -0.7     -1.1     -1.8     -2.7     -0.003     -0.003     -0.006     -0.00025     -0.0006     -0.001     -0.0015     -0.0025     -0.004     -0.0055     -0.009     -0.013     -0.021     -0.035     -0.055     -0.09     -0.135     -0.215     -0.35     -0.55     -0.9     -1.35     0.001     0.001     0.001     0.001     0.007     0.007     0.007     0.007     0.012     0.012     0.012     0.012     0.018     0.018     0.018     0.018     0.023     0.023     0.023     0.028     0.028     0.028     0.028     0     0     0     0.033     0.033     0.033     0.033     0.039     0.039     0.045     0.045     0.045     0.045     0.06     0.06     0.06     0.06     0.077     0.15     0
18~24     0.352     0.43     0.63     0.212     0.29     0.37     0.49     0.143     0.162     0.24     0.32     0.44     0.052     0.078     0.086     0.098     0.117     0.149     0.195     0.275     0.049     0.053     0.061     0.073     0.092     0.124     0.009     0.013     0.021     0.033     0.052     0.104     0.009     0.013     0.016     0.02     0.028     0.0006     0.0015     0.0025     0.004     0.006     0.009     0.013     0.021     0.033     0.052     0.084     0.13     0.21     0.33     0.52     0.84     1.3     2.1     3.3     0.008     0.012     0.02     0.0003     0.00075     0.00125     0.002     0.003     0.0045     0.0065     0.01     0.016     0.026     0.042     0.065     0.105     0.165     0.26     0.42     0.65     1.05     1.65     0.001     0.002     0.006     0.01     -0.005     -0.004     0     0.004     -0.012     -0.011     -0.007     -0.003     -0.015     -0.015     -0.019     -0.018     -0.014     -0.022     -0.022     -0.024     -0.02     -0.028     -0.031     -0.027     0.004     0.008     -0.033     -0.041     -0.073     -0.3     -0.3     -0.3     -0.16     -0.16     -0.16     -0.16     -0.11     -0.11     -0.11     -0.11     0     -0.065     -0.065     -0.065     -0.065     -0.065     -0.065     -0.065     -0.04     -0.04     -0.04     -0.04     -0.04     -0.02     -0.02     -0.02     -0.02     -0.02     -0.02     0     0     0     -0.007     -0.007     -0.007     -0.007     -0.007     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.005     0.009     0.013     0.0003     0.00075     0.00125     0.002     0.003     0.0045     0.0065     0.01     0.016     0.026     0.042     0.065     0.105     0.165     0.26     0.42     0.65     1.05     1.65     0.008     0.011     0.015     0.023     0.014     0.017     0.021     0.029     0.021     0.024     0.028     0.036     0.028     0.031     0.035     0.043     0.037     0.041     0.049     0.044     0.048     0.056     0.068     0.009     0.013     0.021     0.05     0.054     0.062     0.074     0.06     0.068     0.067     0.075     0.087     0.106     0.086     0.094     0.106     0.125     0.131     0.221     0.033
18~24     0.3     0.3     0.3     0.16     0.16     0.16     0.16     0.11     0.11     0.11     0.11     0.11     0     0.065     0.065     0.065     0.065     0.065     0.065     0.065     0.04     0.04     0.04     0.04     0.04     0.04     0     0     0     0     0     0.02     0     0     0.007     0.007     0.007     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.005     -0.009     -0.013     -0.0003     -0.00075     -0.00125     -0.002     -0.003     -0.0045     -0.0065     -0.01     -0.016     -0.026     -0.042     -0.065     -0.105     -0.165     -0.26     -0.42     -0.65     -1.05     -1.65     -0.008     -0.011     -0.015     -0.023     -0.014     -0.017     -0.021     -0.029     -0.021     -0.024     -0.028     -0.036     -0.067     -0.099     -0.028     -0.031     -0.035     -0.055     -0.074     -0.037     -0.041     -0.061     -0.044     -0.048     -0.009     -0.013     -0.054     -0.074     -0.106     -0.352     -0.43     -0.63     -0.212     -0.29     -0.37     -0.49     -0.143     -0.162     -0.24     -0.32     -0.052     -0.078     -0.086     -0.098     -0.117     -0.149     -0.195     -0.275     -0.049     -0.053     -0.061     -0.073     -0.092     -0.026     -0.029     -0.033     -0.041     -0.053     -0.072     -0.006     -0.009     -0.013     -0.013     -0.016     -0.02     -0.028     -0.04     -0.0006     -0.0015     -0.0025     -0.004     -0.006     -0.009     -0.013     -0.021     -0.033     -0.052     -0.084     -0.13     -0.21     -0.33     -0.52     -0.84     -1.3     -2.1     -3.3     -0.004     -0.004     -0.008     -0.0003     -0.00075     -0.00125     -0.002     -0.003     -0.0045     -0.0065     -0.01     -0.016     -0.026     -0.042     -0.065     -0.105     -0.165     -0.26     -0.42     -0.65     -1.05     -1.65     0.002     0.002     0.002     0.002     0.008     0.008     0.008     0.008     0.015     0.015     0.015     0.015     0.022     0.022     0.022     0.022     0.028     0.028     0.028     0.035     0.035     0.035     0.035     0     0     0     0.041     0.041     0.041     0.041     0.047     0.047     0.054     0.054     0.054     0.054     0.073     0.073     0.073     0.073     0.098     0.188     0
24~30     0.352     0.43     0.63     0.212     0.29     0.37     0.49     0.143     0.162     0.24     0.32     0.44     0.052     0.078     0.086     0.098     0.117     0.149     0.195     0.275     0.049     0.053     0.061     0.073     0.092     0.124     0.009     0.013     0.021     0.033     0.052     0.104     0.009     0.013     0.016     0.02     0.028     0.0006     0.0015     0.0025     0.004     0.006     0.009     0.013     0.021     0.033     0.052     0.084     0.13     0.21     0.33     0.52     0.84     1.3     2.1     3.3     0.008     0.012     0.02     0.0003     0.00075     0.00125     0.002     0.003     0.0045     0.0065     0.01     0.016     0.026     0.042     0.065     0.105     0.165     0.26     0.42     0.65     1.05     1.65     0.001     0.002     0.006     0.01     -0.005     -0.004     0     0.004     -0.012     -0.011     -0.007     -0.003     -0.015     -0.015     -0.019     -0.018     -0.014     -0.022     -0.022     -0.024     -0.02     -0.028     -0.031     -0.027     -0.037     -0.033     -0.04     -0.048     -0.088     -0.3     -0.3     -0.3     -0.16     -0.16     -0.16     -0.16     -0.11     -0.11     -0.11     -0.11     0     -0.065     -0.065     -0.065     -0.065     -0.065     -0.065     -0.065     -0.04     -0.04     -0.04     -0.04     -0.04     -0.02     -0.02     -0.02     -0.02     -0.02     -0.02     0     0     0     -0.007     -0.007     -0.007     -0.007     -0.007     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.005     0.009     0.013     0.0003     0.00075     0.00125     0.002     0.003     0.0045     0.0065     0.01     0.016     0.026     0.042     0.065     0.105     0.165     0.26     0.42     0.65     1.05     1.65     0.008     0.011     0.015     0.023     0.014     0.017     0.021     0.029     0.021     0.024     0.028     0.036     0.028     0.031     0.035     0.043     0.037     0.041     0.049     0.044     0.048     0.056     0.068     0.05     0.054     0.062     0.057     0.061     0.069     0.081     0.068     0.076     0.077     0.085     0.097     0.116     0.101     0.109     0.121     0.14     0.151     0.251     0.033
24~30     0.3     0.3     0.3     0.16     0.16     0.16     0.16     0.11     0.11     0.11     0.11     0.11     0     0.065     0.065     0.065     0.065     0.065     0.065     0.065     0.04     0.04     0.04     0.04     0.04     0.04     0     0     0     0     0     0.02     0     0     0.007     0.007     0.007     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.005     -0.009     -0.013     -0.0003     -0.00075     -0.00125     -0.002     -0.003     -0.0045     -0.0065     -0.01     -0.016     -0.026     -0.042     -0.065     -0.105     -0.165     -0.26     -0.42     -0.65     -1.05     -1.65     -0.008     -0.011     -0.015     -0.023     -0.014     -0.017     -0.021     -0.029     -0.021     -0.024     -0.028     -0.036     -0.067     -0.099     -0.028     -0.031     -0.035     -0.055     -0.074     -0.037     -0.041     -0.061     -0.044     -0.048     -0.05     -0.054     -0.061     -0.081     -0.121     -0.352     -0.43     -0.63     -0.212     -0.29     -0.37     -0.49     -0.143     -0.162     -0.24     -0.32     -0.052     -0.078     -0.086     -0.098     -0.117     -0.149     -0.195     -0.275     -0.049     -0.053     -0.061     -0.073     -0.092     -0.026     -0.029     -0.033     -0.041     -0.053     -0.072     -0.006     -0.009     -0.013     -0.013     -0.016     -0.02     -0.028     -0.04     -0.0006     -0.0015     -0.0025     -0.004     -0.006     -0.009     -0.013     -0.021     -0.033     -0.052     -0.084     -0.13     -0.21     -0.33     -0.52     -0.84     -1.3     -2.1     -3.3     -0.004     -0.004     -0.008     -0.0003     -0.00075     -0.00125     -0.002     -0.003     -0.0045     -0.0065     -0.01     -0.016     -0.026     -0.042     -0.065     -0.105     -0.165     -0.26     -0.42     -0.65     -1.05     -1.65     0.002     0.002     0.002     0.002     0.008     0.008     0.008     0.008     0.015     0.015     0.015     0.015     0.022     0.022     0.022     0.022     0.028     0.028     0.028     0.035     0.035     0.035     0.035     0.041     0.041     0.041     0.048     0.048     0.048     0.048     0.055     0.055     0.064     0.064     0.064     0.064     0.088     0.088     0.088     0.088     0.118     0.218     0
30~40     0.372     0.47     0.7     0.232     0.33     0.42     0.56     0.159     0.182     0.28     0.37     0.51     0.062     0.096     0.105     0.119     0.142     0.18     0.24     0.33     0.061     0.066     0.075     0.089     0.112     0.15     0.011     0.016     0.025     0.039     0.062     0.125     0.011     0.016     0.02     0.025     0.034     0.0006     0.0015     0.0025     0.004     0.007     0.011     0.016     0.025     0.039     0.062     0.1     0.16     0.25     0.39     0.62     1     1.6     2.5     3.9     0.01     0.014     0.024     0.0003     0.00075     0.00125     0.002     0.0035     0.0055     0.008     0.012     0.019     0.0305     0.05     0.08     0.125     0.195     0.31     0.5     0.8     1.25     1.95     0.002     0.003     0.007     0.012     -0.005     -0.004     0     0.005     -0.013     -0.012     -0.008     -0.003     -0.017     -0.017     -0.022     -0.021     -0.017     -0.026     -0.026     -0.029     -0.025     -0.034     -0.038     -0.034     -0.043     -0.039     -0.051     -0.06     -0.112     -0.31     -0.31     -0.31     -0.17     -0.17     -0.17     -0.17     -0.12     -0.12     -0.12     -0.12     0     -0.08     -0.08     -0.08     -0.08     -0.08     -0.08     -0.08     -0.05     -0.05     -0.05     -0.05     -0.05     -0.025     -0.025     -0.025     -0.025     -0.025     -0.025     0     0     0     -0.009     -0.009     -0.009     -0.009     -0.009     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.006     0.011     0.015     0.0003     0.00075     0.00125     0.002     0.0035     0.0055     0.008     0.012     0.019     0.031     0.05     0.08     0.125     0.195     0.31     0.5     0.8     1.25     1.95     0.009     0.013     0.018     0.027     0.016     0.02     0.025     0.034     0.024     0.028     0.033     0.042     0.033     0.037     0.042     0.051     0.045     0.05     0.059     0.054     0.059     0.068     0.082     0.059     0.064     0.073     0.071     0.076     0.085     0.099     0.084     0.093     0.096     0.105     0.119     0.142     0.128     0.137     0.151     0.174     0.187     0.313     0.039
30~40     0.372     0.31     0.31     0.17     0.17     0.17     0.17     0.12     0.12     0.12     0.12     0.12     0     0.08     0.08     0.08     0.08     0.08     0.08     0.08     0.05     0.05     0.05     0.05     0.05     0.05     0     0     0     0     0     0.025     0     0     0.009     0.009     0.009     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.006     -0.011     -0.015     -0.0003     -0.00075     -0.00125     -0.002     -0.0035     -0.0055     -0.008     -0.012     -0.019     -0.0305     -0.05     -0.08     -0.125     -0.195     -0.31     -0.5     -0.8     -1.25     -1.95     -0.009     -0.013     -0.018     -0.027     -0.016     -0.02     -0.025     -0.034     -0.024     -0.028     -0.033     -0.042     -0.079     -0.117     -0.033     -0.037     -0.042     -0.065     -0.088     -0.045     -0.05     -0.073     -0.054     -0.059     -0.059     -0.064     -0.076     -0.099     -0.151     -0.372     -0.47     -0.7     -0.232     -0.33     -0.42     -0.56     -0.159     -0.182     -0.28     -0.37     -0.062     -0.096     -0.105     -0.119     -0.142     -0.18     -0.24     -0.33     -0.061     -0.066     -0.075     -0.089     -0.112     -0.032     -0.036     -0.041     -0.05     -0.064     -0.087     -0.007     -0.011     -0.016     -0.016     -0.02     -0.025     -0.034     -0.048     -0.0006     -0.0015     -0.0025     -0.004     -0.007     -0.011     -0.016     -0.025     -0.039     -0.062     -0.1     -0.16     -0.25     -0.39     -0.62     -1     -1.6     -2.5     -3.9     -0.005     -0.005     -0.01     -0.0003     -0.00075     -0.00125     -0.002     -0.0035     -0.0055     -0.008     -0.012     -0.019     -0.031     -0.05     -0.08     -0.125     -0.195     -0.31     -0.5     -0.8     -1.25     -1.95     0.002     0.002     0.002     0.002     0.009     0.009     0.009     0.009     0.017     0.017     0.017     0.017     0.026     0.026     0.026     0.026     0.034     0.034     0.034     0.043     0.043     0.043     0.043     0.048     0.048     0.048     0.06     0.06     0.06     0.06     0.068     0.068     0.08     0.08     0.08     0.08     0.112     0.112     0.112     0.112     0.148     0.274     0
40~50     0.382     0.48     0.71     0.242     0.34     0.43     0.57     0.169     0.192     0.29     0.38     0.52     0.062     0.096     0.105     0.119     0.142     0.18     0.24     0.33     0.061     0.066     0.075     0.089     0.112     0.15     0.011     0.016     0.025     0.039     0.062     0.125     0.011     0.016     0.02     0.025     0.034     0.0006     0.0015     0.0025     0.004     0.007     0.011     0.016     0.025     0.039     0.062     0.1     0.16     0.25     0.39     0.62     1     1.6     2.5     3.9     0.01     0.014     0.024     0.0003     0.00075     0.00125     0.002     0.0035     0.0055     0.008     0.012     0.019     0.0305     0.05     0.08     0.125     0.195     0.31     0.5     0.8     1.25     1.95     0.002     0.003     0.007     0.012     -0.005     -0.004     0     0.005     -0.013     -0.012     -0.008     -0.003     -0.017     -0.017     -0.022     -0.021     -0.017     -0.026     -0.026     -0.029     -0.025     -0.034     -0.038     -0.034     -0.049     -0.045     -0.061     -0.07     -0.136     -0.32     -0.32     -0.32     -0.18     -0.18     -0.18     -0.18     -0.13     -0.13     -0.13     -0.13     0     -0.08     -0.08     -0.08     -0.08     -0.08     -0.08     -0.08     -0.05     -0.05     -0.05     -0.05     -0.05     -0.025     -0.025     -0.025     -0.025     -0.025     -0.025     0     0     0     -0.009     -0.009     -0.009     -0.009     -0.009     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.006     0.011     0.015     0.0003     0.00075     0.00125     0.002     0.0035     0.0055     0.008     0.012     0.019     0.031     0.05     0.08     0.125     0.195     0.31     0.5     0.8     1.25     1.95     0.009     0.013     0.018     0.027     0.016     0.02     0.025     0.034     0.024     0.028     0.033     0.042     0.033     0.037     0.042     0.051     0.045     0.05     0.059     0.054     0.059     0.068     0.082     0.065     0.07     0.079     0.081     0.086     0.095     0.109     0.097     0.106     0.113     0.122     0.136     0.159     0.152     0.161     0.175     0.198     0.219     0.364     0.039
40~50     0.32     0.32     0.32     0.18     0.18     0.18     0.18     0.13     0.13     0.13     0.13     0.13     0     0.08     0.08     0.08     0.08     0.08     0.08     0.08     0.05     0.05     0.05     0.05     0.05     0.05     0     0     0     0     0     0.025     0     0     0.009     0.009     0.009     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.006     -0.011     -0.015     -0.0003     -0.00075     -0.00125     -0.002     -0.0035     -0.0055     -0.008     -0.012     -0.019     -0.0305     -0.05     -0.08     -0.125     -0.195     -0.31     -0.5     -0.8     -1.25     -1.95     -0.009     -0.013     -0.018     -0.027     -0.016     -0.02     -0.025     -0.034     -0.024     -0.028     -0.033     -0.042     -0.079     -0.117     -0.033     -0.037     -0.042     -0.065     -0.088     -0.045     -0.05     -0.073     -0.054     -0.059     -0.065     -0.07     -0.086     -0.109     -0.175     -0.382     -0.48     -0.71     -0.242     -0.34     -0.43     -0.57     -0.169     -0.192     -0.29     -0.38     -0.062     -0.096     -0.105     -0.119     -0.142     -0.18     -0.24     -0.33     -0.061     -0.066     -0.075     -0.089     -0.112     -0.032     -0.036     -0.041     -0.05     -0.064     -0.087     -0.007     -0.011     -0.016     -0.016     -0.02     -0.025     -0.034     -0.048     -0.0006     -0.0015     -0.0025     -0.004     -0.007     -0.011     -0.016     -0.025     -0.039     -0.062     -0.1     -0.16     -0.25     -0.39     -0.62     -1     -1.6     -2.5     -3.9     -0.005     -0.005     -0.01     -0.0003     -0.00075     -0.00125     -0.002     -0.0035     -0.0055     -0.008     -0.012     -0.019     -0.031     -0.05     -0.08     -0.125     -0.195     -0.31     -0.5     -0.8     -1.25     -1.95     0.002     0.002     0.002     0.002     0.009     0.009     0.009     0.009     0.017     0.017     0.017     0.017     0.026     0.026     0.026     0.026     0.034     0.034     0.034     0.043     0.043     0.043     0.043     0.054     0.054     0.054     0.07     0.07     0.07     0.07     0.081     0.081     0.097     0.097     0.097     0.097     0.136     0.136     0.136     0.136     0.18     0.325     0
50~65     0.414     0.53     0.8     0.264     0.38     0.49     0.65     0.186     0.214     0.33     0.44     0.6     0.074     0.119     0.13     0.146     0.174     0.22     0.29     0.4     0.073     0.079     0.09     0.106     0.134     0.18     0.013     0.019     0.03     0.046     0.074     0.15     0.013     0.019     0.023     0.029     0.04     0.0008     0.002     0.003     0.005     0.008     0.013     0.019     0.03     0.046     0.074     0.12     0.19     0.3     0.46     0.74     1.2     1.9     3     4.6     0.013     0.018     0.028     0.0004     0.001     0.0015     0.0025     0.004     0.0065     0.0095     0.015     0.023     0.037     0.06     0.095     0.15     0.23     0.37     0.6     0.95     1.5     2.3     0.003     0.004     0.009     0.012     -0.006     -0.005     0     0.003     -0.015     -0.014     -0.009     -0.006     -0.02     -0.02     -0.027     -0.026     -0.021     -0.032     -0.032     -0.035     -0.03     -0.041     -0.047     -0.042     -0.06     -0.055     -0.076     -0.087     -0.172     -0.34     -0.34     -0.34     -0.19     -0.19     -0.19     -0.19     -0.14     -0.14     -0.14     -0.14     0     -0.1     -0.1     -0.1     -0.1     -0.1     -0.1     -0.1     -0.06     -0.06     -0.06     -0.06     -0.06     -0.03     -0.03     -0.03     -0.03     -0.03     -0.03     0     0     0     -0.01     -0.01     -0.01     -0.01     -0.01     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.006     0.012     0.018     0.0004     0.001     0.0015     0.0025     0.004     0.0065     0.0095     0.015     0.023     0.037     0.06     0.095     0.15     0.23     0.37     0.6     0.95     1.5     2.3     0.01     0.015     0.021     0.032     0.019     0.024     0.03     0.041     0.028     0.033     0.039     0.05     0.04     0.045     0.051     0.062     0.054     0.06     0.071     0.066     0.072     0.083     0.099     0.079     0.085     0.096     0.1     0.106     0.117     0.133     0.121     0.132     0.141     0.152     0.168     0.196     0.191     0.202     0.218     0.246     0.272     0.451     0.046
50~65     0.34     0.34     0.34     0.19     0.19     0.19     0.19     0.14     0.14     0.14     0.14     0.14     0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.06     0.06     0.06     0.06     0.06     0.06     0     0     0     0     0     0.03     0     0     0.01     0.01     0.01     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.006     -0.012     -0.018     -0.0004     -0.001     -0.0015     -0.0025     -0.004     -0.0065     -0.0095     -0.015     -0.023     -0.037     -0.06     -0.095     -0.15     -0.23     -0.37     -0.6     -0.95     -1.5     -2.3     -0.01     -0.015     -0.021     -0.034     -0.019     -0.024     -0.03     -0.043     -0.028     -0.033     -0.039     -0.052     -0.094     -0.14     -0.04     -0.045     -0.051     -0.078     -0.106     -0.054     -0.06     -0.087     -0.066     -0.072     -0.079     -0.085     -0.106     -0.133     -0.218     -0.414     -0.53     -0.8     -0.264     -0.38     -0.49     -0.65     -0.186     -0.214     -0.33     -0.44     -0.074     -0.119     -0.13     -0.146     -0.174     -0.22     -0.29     -0.4     -0.073     -0.079     -0.09     -0.106     -0.134     -0.038     -0.043     -0.049     -0.06     -0.076     -0.104     -0.008     -0.013     -0.019     -0.018     -0.023     -0.029     -0.04     -0.056     -0.0008     -0.002     -0.003     -0.005     -0.008     -0.013     -0.019     -0.03     -0.046     -0.074     -0.12     -0.19     -0.3     -0.46     -0.74     -1.2     -1.9     -3     -4.6     -0.007     -0.007     -0.012     -0.0004     -0.001     -0.0015     -0.0025     -0.004     -0.0065     -0.0095     -0.015     -0.023     -0.037     -0.06     -0.095     -0.15     -0.23     -0.37     -0.6     -0.95     -1.5     -2.3     0.002     0.002     0.002     0.002     0.011     0.011     0.011     0.011     0.02     0.02     0.02     0.02     0.032     0.032     0.032     0.032     0.041     0.041     0.041     0.053     0.053     0.053     0.053     0.066     0.066     0.066     0.087     0.087     0.087     0.087     0.102     0.102     0.122     0.122     0.122     0.122     0.172     0.172     0.172     0.172     0.226     0.405     0
65~80     0.434     0.55     0.82     0.274     0.39     0.5     0.66     0.196     0.224     0.34     0.45     0.61     0.074     0.119     0.13     0.146     0.174     0.22     0.29     0.4     0.073     0.079     0.09     0.106     0.134     0.18     0.013     0.019     0.03     0.046     0.074     0.15     0.013     0.019     0.023     0.029     0.04     0.0008     0.002     0.003     0.005     0.008     0.013     0.019     0.03     0.046     0.074     0.12     0.19     0.3     0.46     0.74     1.2     1.9     3     4.6     0.013     0.018     0.028     0.0004     0.001     0.0015     0.0025     0.004     0.0065     0.0095     0.015     0.023     0.037     0.06     0.095     0.15     0.23     0.37     0.6     0.95     1.5     2.3     0.003     0.004     0.009     0.012     -0.006     -0.005     0     0.003     -0.015     -0.014     -0.009     -0.006     -0.02     -0.02     -0.027     -0.026     -0.021     -0.032     -0.032     -0.037     -0.032     -0.043     -0.053     -0.048     -0.069     -0.064     -0.091     -0.102     -0.21     -0.36     -0.36     -0.36     -0.2     -0.2     -0.2     -0.2     -0.15     -0.15     -0.15     -0.15     0     -0.1     -0.1     -0.1     -0.1     -0.1     -0.1     -0.1     -0.06     -0.06     -0.06     -0.06     -0.06     -0.03     -0.03     -0.03     -0.03     -0.03     -0.03     0     0     0     -0.01     -0.01     -0.01     -0.01     -0.01     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0.006     0.012     0.018     0.0004     0.001     0.0015     0.0025     0.004     0.0065     0.0095     0.015     0.023     0.037     0.06     0.095     0.15     0.23     0.37     0.6     0.95     1.5     2.3     0.01     0.015     0.021     0.032     0.019     0.024     0.03     0.041     0.028     0.033     0.039     0.05     0.04     0.045     0.051     0.062     0.056     0.062     0.073     0.072     0.078     0.089     0.105     0.088     0.094     0.105     0.115     0.121     0.132     0.148     0.139     0.15     0.165     0.176     0.192     0.22     0.229     0.24     0.256     0.284     0.32     0.526     0.046
65~80     0.36     0.36     0.36     0.2     0.2     0.2     0.2     0.15     0.15     0.15     0.15     0.15     0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.06     0.06     0.06     0.06     0.06     0.06     0     0     0     0     0     0.03     0     0     0.01     0.01     0.01     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     -0.006     -0.012     -0.018     -0.0004     -0.001     -0.0015     -0.0025     -0.004     -0.0065     -0.0095     -0.015     -0.023     -0.037     -0.06     -0.095     -0.15     -0.23     -0.37     -0.6     -0.95     -1.5     -2.3     -0.01     -0.015     -0.021     -0.034     -0.019     -0.024     -0.03     -0.043     -0.028     -0.033     -0.039     -0.052     -0.094     -0.14     -0.04     -0.045     -0.051     -0.078     -0.106     -0.056     -0.062     -0.089     -0.072     -0.078     -0.088     -0.094     -0.121     -0.148     -0.256     -0.434     -0.55     -0.82     -0.274     -0.39     -0.5     -0.66     -0.196     -0.224     -0.34     -0.45     -0.074     -0.119     -0.13     -0.146     -0.174     -0.22     -0.29     -0.4     -0.073     -0.079     -0.09     -0.106     -0.134     -0.038     -0.043     -0.049     -0.06     -0.076     -0.104     -0.008     -0.013     -0.019     -0.018     -0.023     -0.029     -0.04     -0.056     -0.0008     -0.002     -0.003     -0.005     -0.008     -0.013     -0.019     -0.03     -0.046     -0.074     -0.12     -0.19     -0.3     -0.46     -0.74     -1.2     -1.9     -3     -4.6     -0.007     -0.007     -0.012     -0.0004     -0.001     -0.0015     -0.0025     -0.004     -0.0065     -0.0095     -0.015     -0.023     -0.037     -0.06     -0.095     -0.15     -0.23     -0.37     -0.6     -0.95     -1.5     -2.3     0.002     0.002     0.002     0.002     0.011     0.011     0.011     0.011     0.02     0.02     0.02     0.02     0.032     0.032     0.032     0.032     0.043     0.043     0.043     0.059     0.059     0.059     0.059     0.075     0.075     0.075     0.102     0.102     0.102     0.102     0.12     0.12     0.146     0.146     0.146     0.146     0.21     0.21     0.21     0.21     0.274     0.48     0
