!
!
# Shaft  RC  6
# Hole   RC  7
!
Key                      RC_1           RC_1           RC_2           RC_2           RC_3           RC_3           RC_4           RC_4           RC_5           RC_5           RC_6           RC_6           RC_7           RC_7           RC_8           RC_8           RC_9           RC_9             LC_1            LC_1          LC_2            LC_2          LC_3            LC_3          LC_4            LC_4          LC_5            LC_5          LC_6            LC_6          LC_7            LC_7          LC_8            LC_8          LC_9            LC_9          LC_10           LC_10         LC_11           LC_11           LT_1            LT_1          LT_2            LT_2          LT_3           LT_3           LT_4           LT_4           LT_5           LT_5           LT_6            LT_6              LN_1           LN_1           LN_2           LN_2           LN_3           LN_3           FN_1        FN_1        FN_2        FN_2        FN_3        FN_3        FN_4        FN_4        FN_5        FN_5  
Subkey                   H_5            g_4            H_6            g_5            H_7            f_6            H_8            f_7            H_8            e_7            H_9            e_8            H_9            d_8            H_10           c_9            H_11           E_0              H_6             h_5           H_7             h_6           H_8             h_7           H_10            h_9           H_7             g_6           H_9             f_8           H_10            e_9           H_10            d_9           H_11            c_10          H_12            E_0           H_13            E_0             H_7             js_6          H_8             js_7          H_7            k_6            H_8            k_7            H_7            n_6            H_7             n_7               H_6            n_5            H_7            p_6            H_7            r_6            H_6         E_0         H_7         s_6         H_7         t_6         H_7         u_6         H_8         x_7   
Basic size(inch)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1.97~2.56                0.0005         -0.0004        0.0007         -0.0004        0.0012         -0.0012        0.0018         -0.0012        0.0018         -0.0025        0.003          -0.0025        0.003          -0.004         0.0045        -0.006          0.007          -0.009           0.0007          0             0.0012          0             0.0018          0             0.0045          0             0.0012         -0.0004        0.003          -0.0012        0.0045         -0.0025        0.0045         -0.004         0.007          -0.006         0.012          -0.01          0.018          -0.014           0.0012          0.0003        0.0018          0.0006        0.0012         0.0008         0.0018         0.0013         0.0012         0.0015         0.0012          0.0020            0.0007         0.0013         0.0012         0.0021         0.0012         0.0023         0.0007      0.0018      0.0012      0.0027      0.0012      0.0032      0.0012      0.0042      0.0018      0.0062
1.97~2.56                0              -0.0007        0              -0.0009        0              -0.0019        0              -0.0024        0              -0.0037        0              -0.0043        0              -0.0058        0             -0.009          0              -0.0135          0              -0.0005        0              -0.0007        0              -0.0012        0              -0.003         0              -0.0011        0              -0.003         0              -0.0055        0              -0.007         0              -0.0105        0              -0.022         0              -0.032           0              -0.0003        0              -0.0006        0              0.0001         0              0.0001         0              0.0008         0               0.0008            0              0.0008         0              0.0014         0              0.0016         0           0.0013      0           0.002       0           0.0025      0           0.0035      0           0.005 
2.56~3.15                0.0005         -0.0004        0.0007         -0.0004        0.0012         -0.0012        0.0018         -0.0012        0.0018         -0.0025        0.003          -0.0025        0.003          -0.004         0.0045        -0.006          0.007          -0.009           0.0007          0             0.0012          0             0.0018          0             0.0045          0             0.0012         -0.0004        0.003          -0.0012        0.0045         -0.0025        0.0045         -0.004         0.007          -0.006         0.012          -0.01          0.018          -0.014           0.0012          0.0003        0.0018          0.0006        0.0012         0.0008         0.0018         0.0013         0.0012         0.0015         0.0012          0.0020            0.0007         0.0013         0.0012         0.0021         0.0012         0.0023         0.0007      0.0019      0.0012      0.0029      0.0012      0.0037      0.0012      0.0047      0.0018      0.0072
2.56~3.15                0              -0.0007        0              -0.0009        0              -0.0019        0              -0.0024        0              -0.0037        0              -0.0043        0              -0.0058        0             -0.009          0              -0.0135          0              -0.0005        0              -0.0007        0              -0.0012        0              -0.003         0              -0.0011        0              -0.003         0              -0.0055        0              -0.007         0              -0.0105        0              -0.022         0              -0.032           0              -0.0003        0              -0.0006        0              0.0001         0              0.0001         0              0.0008         0               0.0008            0              0.0008         0              0.0014         0              0.0016         0           0.0014      0           0.0022      0           0.003       0           0.004       0           0.006 
3.15~3.94                0.0006         -0.0005        0.0009         -0.0005        0.0014         -0.0014        0.0022         -0.0014        0.0022         -0.003         0.0035         -0.003         0.0035         -0.005         0.005         -0.007          0.009          -0.01            0.0009          0             0.0014          0             0.0022          0             0.005           0             0.0014         -0.0005        0.0035         -0.0014        0.005          -0.003         0.005          -0.005         0.009          -0.007         0.014          -0.011         0.022          -0.016           0.0014          0.0004        0.0022          0.0007        0.0014         0.001          0.0022         0.0015         0.0014         0.0019         0.0014          0.0024            0.0009         0.0016         0.0014         0.0025         0.0014         0.0029         0.009       0.0024      0.0014      0.0037      0.0014      0.0044      0.0014      0.0059      0.0022      0.0084
3.15~3.94                0              -0.0009        0              -0.0011        0              -0.0023        0              -0.0028        0              -0.0044        0              -0.0052        0              -0.0072        0             -0.0105         0              -0.015           0              -0.0006        0              -0.0009        0              -0.0014        0              -0.0035        0              -0.0014        0              -0.0036        0              -0.0065        0              -0.0085        0              -0.012         0              -0.025         0              -0.038           0              -0.0004        0              -0.0007        0              0.0001         0              0.0001         0              0.001          0               0.0010            0              0.001          0              0.0016         0              0.002          0           0.0018      0           0.0028      0           0.0035      0           0.005       0           0.007 
3.94~4.73                0.0006         -0.0005        0.0009         -0.0005        0.0014         -0.0014        0.0022         -0.0014        0.0022         -0.003         0.0035         -0.003         0.0035         -0.005         0.005         -0.007          0.009          -0.01            0.0009          0             0.0014          0             0.0022          0             0.005           0             0.0014         -0.0005        0.0035         -0.0014        0.005          -0.003         0.005          -0.005         0.009          -0.007         0.014          -0.011         0.022          -0.016           0.0014          0.0004        0.0022          0.0007        0.0014         0.001          0.0022         0.0015         0.0014         0.0019         0.0014          0.0024            0.0009         0.0016         0.0014         0.0025         0.0014         0.0029         0.0009      0.0026      0.0014      0.0039      0.0014      0.0049      0.0014      0.0069      0.0022      0.0094
3.94~4.73                0              -0.0009        0              -0.0011        0              -0.0023        0              -0.0028        0              -0.0044        0              -0.0052        0              -0.0072        0             -0.0105         0              -0.015           0              -0.0006        0              -0.0009        0              -0.0014        0              -0.0035        0              -0.0014        0              -0.0036        0              -0.0065        0              -0.0085        0              -0.012         0              -0.025         0              -0.038           0              -0.0004        0              -0.0007        0              0.0001         0              0.0001         0              0.001          0               0.0010            0              0.001          0              0.0016         0              0.002          0           0.002       0           0.003       0           0.004       0           0.006       0           0.008 
4.73~5.52                0.0007         -0.0006        0.001          -0.0006        0.0016         -0.0016        0.0025         -0.0016        0.0025         -0.0035        0.004          -0.0035        0.004          -0.006         0.006         -0.008          0.01           -0.012           0.001           0             0.0016          0             0.0025          0             0.006           0             0.0016         -0.0006        0.004          -0.0016        0.006          -0.0035        0.006          -0.006         0.01           -0.008         0.016          -0.012         0.025          -0.018           0.0016          0.0005        0.0025          0.0008        0.0016         0.0011         0.0025         0.0017         0.0016         0.0022         0.0016          0.0028            0.001          0.0019         0.0016         0.0028         0.0016         0.0035         0.001       0.0029      0.0016      0.0045      0.0016      0.006       0.0016      0.008       0.0025      0.0116
4.73~5.52                0              -0.0011        0              -0.0013        0              -0.0026        0              -0.0032        0              -0.0051        0              -0.006         0              -0.0085        0             -0.012          0              -0.018           0              -0.0007        0              -0.0010        0              -0.0016        0              -0.004         0              -0.0016        0              -0.0041        0              -0.0075        0              -0.01          0              -0.014         0              -0.028         0              -0.043           0              -0.0005        0              -0.0008        0              0.0001         0              0.0001         0              0.0012         0               0.0012            0              0.0012         0              0.0018         0              0.0025         0           0.0022      0           0.0035      0           0.005       0           0.007       0           0.01  
5.52~6.30                0.0007         -0.0006        0.001          -0.0006        0.0016         -0.0016        0.0025         -0.0016        0.0025         -0.0035        0.004          -0.0035        0.004          -0.006         0.006         -0.008          0.01           -0.012           0.001           0             0.0016          0             0.0025          0             0.006           0             0.0016         -0.0006        0.004          -0.0016        0.006          -0.0035        0.006          -0.006         0.01           -0.008         0.016          -0.012         0.025          -0.018           0.0016          0.0005        0.0025          0.0008        0.0016         0.0011         0.0025         0.0017         0.0016         0.0022         0.0016          0.0028            0.001          0.0019         0.0016         0.0028         0.0016         0.0035         0.001       0.0032      0.0016      0.005       0.0016      0.006       0.0016      0.008       0.0025      0.0136
5.52~6.30                0              -0.0011        0              -0.0013        0              -0.0026        0              -0.0032        0              -0.0051        0              -0.006         0              -0.0085        0             -0.012          0              -0.018           0              -0.0007        0              -0.0010        0              -0.0016        0              -0.004         0              -0.0016        0              -0.0041        0              -0.0075        0              -0.01          0              -0.014         0              -0.028         0              -0.043           0              -0.0005        0              -0.0008        0              0.0001         0              0.0001         0              0.0012         0               0.0012            0              0.0012         0              0.0018         0              0.0025         0           0.0025      0           0.004       0           0.005       0           0.007       0           0.012 
6.30~7.09                0.0007         -0.0006        0.001          -0.0006        0.0016         -0.0016        0.0025         -0.0016        0.0025         -0.0035        0.004          -0.0035        0.004          -0.006         0.006         -0.008          0.01           -0.012           0.001           0             0.0016          0             0.0025          0             0.006           0             0.0016         -0.0006        0.004          -0.0016        0.006          -0.0035        0.006          -0.006         0.01           -0.008         0.016          -0.012         0.025          -0.018           0.0016          0.0005        0.0025          0.0008        0.0016         0.0011         0.0025         0.0017         0.0016         0.0022         0.0016          0.0028            0.001          0.0019         0.0016         0.0028         0.0016         0.0035         0.001       0.0035      0.0016      0.0055      0.0016      0.007       0.0016      0.009       0.0025      0.0136
6.30~7.09                0              -0.0011        0              -0.0013        0              -0.0026        0              -0.0032        0              -0.0051        0              -0.006         0              -0.0085        0             -0.012          0              -0.018           0              -0.0007        0              -0.0010        0              -0.0016        0              -0.004         0              -0.0016        0              -0.0041        0              -0.0075        0              -0.01          0              -0.014         0              -0.028         0              -0.043           0              -0.0005        0              -0.0008        0              0.0001         0              0.0001         0              0.0012         0               0.0012            0              0.0012         0              0.0018         0              0.0025         0           0.0028      0           0.0045      0           0.006       0           0.008       0           0.012 
7.09~7.88                0.0008         -0.0006        0.0012         -0.0006        0.0018         -0.002         0.0028         -0.002         0.0028         -0.004         0.0045         -0.004         0.0045         -0.007         0.007         -0.01           0.012          -0.015           0.0012          0             0.0018          0             0.0028          0             0.007           0             0.0018         -0.0006        0.0045         -0.002         0.007          -0.004         0.007          -0.007         0.012          -0.01          0.018          -0.016         0.028          -0.022           0.0018          0.0006        0.0028          0.0009        0.0018         0.0014         0.0028         0.002          0.0018         0.0026         0.0018          0.0032            0.0012         0.0022         0.0018         0.0032         0.0018         0.0042         0.0012      0.0038      0.0018      0.0062      0.0018      0.0082      0.0018      0.0102      0.0028      0.0158
7.09~7.88                0              -0.0012        0              -0.0014        0              -0.0032        0              -0.0038        0              -0.0058        0              -0.0068        0              -0.0098        0             -0.0145         0              -0.022           0              -0.0008        0              -0.0012        0              -0.0018        0              -0.0045        0              -0.0018        0              -0.0048        0              -0.0085        0              -0.0115        0              -0.017         0              -0.034         0              -0.05            0              -0.0006        0              -0.0009        0              0.0002         0              0.0002         0              0.0014         0               0.0014            0              0.0014         0              0.002          0              0.003          0           0.003       0           0.005       0           0.007       0           0.009       0           0.014 
7.88~8.86                0.0008         -0.0006        0.0012         -0.0006        0.0018         -0.002         0.0028         -0.002         0.0028         -0.004         0.0045         -0.004         0.0045         -0.007         0.007         -0.01           0.012          -0.015           0.0012          0             0.0018          0             0.0028          0             0.007           0             0.0018         -0.0006        0.0045         -0.002         0.007          -0.004         0.007          -0.007         0.012          -0.01          0.018          -0.016         0.028          -0.022           0.0018          0.0006        0.0028          0.0009        0.0018         0.0014         0.0028         0.002          0.0018         0.0026         0.0018          0.0032            0.0012         0.0022         0.0018         0.0032         0.0018         0.0042         0.0012      0.0043      0.0018      0.0062      0.0018      0.0082      0.0018      0.0112      0.0028      0.0178
7.88~8.86                0              -0.0012        0              -0.0014        0              -0.0032        0              -0.0038        0              -0.0058        0              -0.0068        0              -0.0098        0             -0.0145         0              -0.022           0              -0.0008        0              -0.0012        0              -0.0018        0              -0.0045        0              -0.0018        0              -0.0048        0              -0.0085        0              -0.0115        0              -0.017         0              -0.034         0              -0.05            0              -0.0006        0              -0.0009        0              0.0002         0              0.0002         0              0.0014         0               0.0014            0              0.0014         0              0.002          0              0.003          0           0.0035      0           0.005       0           0.007       0           0.01        0           0.016 
8.86~9.85                0.0008         -0.0006        0.0012         -0.0006        0.0018         -0.002         0.0028         -0.002         0.0028         -0.004         0.0045         -0.004         0.0045         -0.007         0.007         -0.01           0.012          -0.015           0.0012          0             0.0018          0             0.0028          0             0.007           0             0.0018         -0.0006        0.0045         -0.002         0.007          -0.004         0.007          -0.007         0.012          -0.01          0.018          -0.016         0.028          -0.022           0.0018          0.0006        0.0028          0.0009        0.0018         0.0014         0.0028         0.002          0.0018         0.0026         0.0018          0.0032            0.0012         0.0022         0.0018         0.0032         0.0018         0.0042         0.0012      0.0043      0.0018      0.0072      0.0018      0.0092      0.0018      0.0132      0.0028      0.0178
8.86~9.85                0              -0.0012        0              -0.0014        0              -0.0032        0              -0.0038        0              -0.0058        0              -0.0068        0              -0.0098        0             -0.0145         0              -0.022           0              -0.0008        0              -0.0012        0              -0.0018        0              -0.0045        0              -0.0018        0              -0.0048        0              -0.0085        0              -0.0115        0              -0.017         0              -0.034         0              -0.05            0              -0.0006        0              -0.0009        0              0.0002         0              0.0002         0              0.0014         0               0.0014            0              0.0014         0              0.002          0              0.003          0           0.0035      0           0.006       0           0.008       0           0.012       0           0.016 
9.85~11.03               0.0009         -0.0008        0.0012         -0.0007        0.002          -0.0025        0.003          -0.0022        0.003          -0.005         0.005          -0.005         0.005          -0.008         0.008         -0.012          0.012          -0.018           0.0012          0             0.002           0             0.003           0             0.008           0             0.002          -0.0007        0.005          -0.0022        0.008          -0.0045        0.008          -0.007         0.012          -0.012         0.02           -0.02          0.03           -0.028           0.002           0.0006        0.003           0.001         0.002          0.0014         0.003          0.0022         0.0020         0.0026         0.002           0.0034            0.0012         0.0023         0.0020         0.0034         0.0020         0.0047         0.0012      0.0049      0.002       0.0072      0.002       0.0102      0.002       0.0132      0.003       0.02  
