!
!
# Shaft  RC  6
# Hole   RC  7
!
Key                      RC_1           RC_1           RC_2           RC_2           RC_3           RC_3           RC_4           RC_4           RC_5           RC_5           RC_6           RC_6           RC_7           RC_7           RC_8           RC_8           RC_9           RC_9             LC_1            LC_1          LC_2            LC_2          LC_3            LC_3          LC_4            LC_4          LC_5            LC_5          LC_6            LC_6          LC_7            LC_7          LC_8            LC_8          LC_9            LC_9          LC_10           LC_10         LC_11           LC_11           LT_1            LT_1          LT_2            LT_2          LT_3           LT_3           LT_4           LT_4           LT_5           LT_5           LT_6            LT_6              LN_1           LN_1           LN_2           LN_2           LN_3           LN_3           FN_1        FN_1        FN_2        FN_2        FN_3        FN_3        FN_4        FN_4        FN_5        FN_5  
Subkey                   H_5            g_4            H_6            g_5            H_7            f_6            H_8            f_7            H_8            e_7            H_9            e_8            H_9            d_8            H_10           c_9            H_11           E_0              H_6             h_5           H_7             h_6           H_8             h_7           H_10            h_9           H_7             g_6           H_9             f_8           H_10            e_9           H_10            d_9           H_11            c_10          H_12            E_0           H_13            E_0             H_7             js_6          H_8             js_7          H_7            k_6            H_8            k_7            H_7            n_6            H_7             n_7               H_6            n_5            H_7            p_6            H_7            r_6            H_6         E_0         H_7         s_6         H_7         t_6         H_7         u_6         H_8         x_7   
Basic size(inch)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
9.85~11.03               0              -0.0014        0              -0.0016        0              -0.0037        0              -0.0042        0              -0.007         0              -0.008         0              -0.011         0             -0.017          0              -0.026           0              -0.0009        0              -0.0012        0              -0.002         0              -0.005         0              -0.0019        0              -0.0052        0              -0.0095        0              -0.012         0              -0.02          0              -0.04          0              -0.058           0              -0.0006        0              -0.001         0              0.0002         0              0.0002         0              0.0014         0               0.0014            0              0.0014         0              0.0022         0              0.0035         0           0.004       0           0.006       0           0.009       0           0.012       0           0.018 
11.03~12.41              0.0009         -0.0008        0.0012         -0.0007        0.002          -0.0025        0.003          -0.0022        0.003          -0.005         0.005          -0.005         0.005          -0.008         0.008         -0.012          0.012          -0.018           0.0012          0             0.002           0             0.003           0             0.008           0             0.002          -0.0007        0.005          -0.0022        0.008          -0.0045        0.008          -0.007         0.012          -0.012         0.02           -0.02          0.03           -0.028           0.002           0.0006        0.003           0.001         0.002          0.0014         0.003          0.0022         0.0020         0.0026         0.002           0.0034            0.0012         0.0023         0.0020         0.0034         0.0020         0.0047         0.0012      0.0049      0.002       0.0082      0.002       0.0102      0.002       0.0152      0.003       0.022 
11.03~12.41              0              -0.0014        0              -0.0016        0              -0.0037        0              -0.0042        0              -0.007         0              -0.008         0              -0.011         0             -0.017          0              -0.026           0              -0.0009        0              -0.0012        0              -0.002         0              -0.005         0              -0.0019        0              -0.0052        0              -0.0095        0              -0.012         0              -0.02          0              -0.04          0              -0.058           0              -0.0006        0              -0.001         0              0.0002         0              0.0002         0              0.0014         0               0.0014            0              0.0014         0              0.0022         0              0.0035         0           0.004       0           0.007       0           0.009       0           0.014       0           0.02  
12.41~13.98              0.0001         -0.001         0.0014         -0.0007        0.0022         -0.003         0.0035         -0.0025        0.0035         -0.006         0.006          -0.006         0.006          -0.01          0.009         -0.014          0.014          -0.022           0.0014          0             0.0022          0             0.0035          0             0.009           0             0.0022         -0.0007        0.006          -0.0025        0.009          -0.005         0.009          -0.008         0.014          -0.014         0.022          -0.022         0.035           0.03            0.0022          0.0007        0.0035          0.001         0.0022         0.0016         0.0035         0.0024         0.0022         0.003          0.0022          0.0038            0.0014         0.0026         0.0022         0.0039         0.0022         0.0059         0.0014      0.0055      0.0022      0.0094      0.0022      0.0114      0.0022      0.0174      0.0035      0.0242
12.41~13.98              0              -0.0017        0              -0.0017        0              -0.044         0              -0.0047        0              -0.0082        0              -0.0095        0               0.0135        0             -0.02           0              -0.031           0              -0.001         0              -0.0014        0              -0.0022        0              -0.006         0              -0.0021        0              -0.006         0              -0.011         0              -0.014         0              -0.023         0              -0.044         0              -0.065           0              -0.0007        0              -0.001         0              0.0002         0              0.0002         0              0.0016         0               0.0016            0              0.0016         0              0.0025         0              0.0045         0           0.0045      0           0.008       0           0.01        0           0.016       0           0.022 
13.98~15.75              0.0001         -0.001         0.0014         -0.0007        0.0022         -0.003         0.0035         -0.0025        0.0035         -0.006         0.006          -0.006         0.006          -0.01          0.009         -0.014          0.014          -0.022           0.0014          0             0.0022          0             0.0035          0             0.009           0             0.0022         -0.0007        0.006          -0.0025        0.009          -0.005         0.009          -0.008         0.014          -0.014         0.022          -0.022         0.035           0.03            0.0022          0.0007        0.0035          0.001         0.0022         0.0016         0.0035         0.0024         0.0022         0.0030         0.0022          0.0038            0.0014         0.0026         0.0022         0.0039         0.0022         0.0059         0.0014      0.0061      0.0022      0.0094      0.0022      0.0134      0.0022      0.0194      0.0035      0.0272
13.98~15.75              0              -0.0017        0              -0.0017        0              -0.044         0              -0.0047        0              -0.0082        0              -0.0095        0               0.0135        0             -0.02           0              -0.031           0              -0.001         0              -0.0014        0              -0.0022        0              -0.006         0              -0.0021        0              -0.006         0              -0.011         0              -0.014         0              -0.023         0              -0.044         0              -0.065           0              -0.0007        0              -0.001         0              0.0002         0              0.0002         0              0.0016         0               0.0016            0              0.0016         0              0.0025         0              0.0045         0           0.005       0           0.008       0           0.012       0           0.018       0           0.025 
15.75~17.72              0.001          -0.0012        0.0016         -0.0008        0.0025         -0.004         0.004          -0.0028        0.004          -0.008         0.006          -0.008         0.006           0.012         0.01          -0.016          0.016          -0.025           0.0016          0             0.0025          0             0.004           0             0.01            0             0.0025         -0.0008        0.006          -0.0028        0.01           -0.005         0.01           -0.009         0.016          -0.016         0.025          -0.025         0.04           -0.035           0.0025          0.0008        0.004           0.0012        0.0025         0.0018         0.004          0.0027         0.0025         0.0034         0.0025          0.0043            0.0016         0.0028         0.0025         0.0044         0.0025         0.0066         0.0016      0.007       0.0025      0.0106      0.0025      0.0136      0.0025      0.0216      0.004       0.0305
15.75~17.72              0              -0.002         0              -0.0018        0              -0.0056        0              -0.0053        0              -0.0105        0              -0.012         0              -0.016         0             -0.022          0              -0.035           0              -0.001         0              -0.0016        0              -0.0025        0              -0.006         0              -0.0024        0              -0.0068        0              -0.011         0              -0.015         0              -0.026         0              -0.05          0              -0.075           0              -0.0008        0              -0.0012        0              0.0002         0              0.0002         0              0.0018         0               0.0018            0              0.0018         0              0.0028         0              0.005          0           0.006       0           0.009       0           0.012       0           0.02        0           0.028 
17.72~19.69              0.001          -0.0012        0.0016         -0.0008        0.0025         -0.004         0.004          -0.0028        0.004          -0.008         0.006          -0.008         0.006           0.012         0.01          -0.016          0.016          -0.025           0.0016          0             0.0025          0             0.004           0             0.01            0             0.0025         -0.0008        0.006          -0.0028        0.01           -0.005         0.01           -0.009         0.016          -0.016         0.025          -0.025         0.04           -0.035           0.0025          0.0008        0.004           0.0012        0.0025         0.0018         0.004          0.0027         0.0025         0.0034         0.0025          0.0043            0.0016         0.0028         0.0025         0.0044         0.0025         0.0066         0.0016      0.007       0.0025      0.0116      0.0025      0.0156      0.0025      0.0236      0.004       0.0325
17.72~19.69              0              -0.002         0              -0.0018        0              -0.0056        0              -0.0053        0              -0.0105        0              -0.012         0              -0.016         0             -0.022          0              -0.035           0              -0.001         0              -0.0016        0              -0.0025        0              -0.006         0              -0.0024        0              -0.0068        0              -0.011         0              -0.015         0              -0.026         0              -0.05          0              -0.075           0              -0.0008        0              -0.0012        0              0.0002         0              0.0002         0              0.0018         0               0.0018            0              0.0018         0              0.0028         0              0.005          0           0.006       0           0.01        0           0.014       0           0.022       0           0.03  
19.69~24.34              0.0012         -0.0016        0.002          -0.0016        0.003          -0.005         0.005          -0.005         0.005          -0.0100        0.008          -0.01          0.008          -0.016         0.012         -0.02           0.02           -0.03            0.002           0             0.003           0             0.005           0             0.012           0             0.003          -0.0009        0.008          -0.003         0.012          -0.006         0.012          -0.01          0.02           -0.018         0.03           -0.028         0.05           -0.04            E               E             E               E             E              E              E              E              E              E              E               E                 0.002          E              0.003          0.0055         0.003          0.009          0.002       0.0092      0.003       0.014       0.003       0.02        0.003       0.027       0.005       0.038 
19.69~24.34              0              -0.0025        0              -0.0028        0              -0.007         0              -0.008         0              -0.013         0              -0.015         0              -0.021         0             -0.028          0              -0.042           0              -0.0012        0              -0.002         0              -0.003         0              -0.008         0              -0.0029        0              -0.008         0              -0.014         0              -0.018         0              -0.03          0              -0.058         0              -0.09            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.0035         0              0.007          0           0.008       0           0.012       0           0.018       0           0.025       0           0.035 
24.34~30.09              0.0012         -0.0016        0.002          -0.0016        0.003          -0.005         0.005          -0.005         0.005          -0.0100        0.008          -0.01          0.008          -0.016         0.012         -0.02           0.02           -0.03            0.002           0             0.003           0             0.005           0             0.012           0             0.003          -0.0009        0.008          -0.003         0.012          -0.006         0.012          -0.01          0.02           -0.018         0.03           -0.028         0.05           -0.04            E               E             E               E             E              E              E              E              E              E              E               E                 0.002          E              0.003          0.0055         0.003          0.009          0.002       0.0102      0.003       0.016       0.003       0.022       0.003       0.032       0.005       0.043 
24.34~30.09              0              -0.0025        0              -0.0028        0              -0.007         0              -0.008         0              -0.013         0              -0.015         0              -0.021         0             -0.028          0              -0.042           0              -0.0012        0              -0.002         0              -0.003         0              -0.008         0              -0.0029        0              -0.008         0              -0.014         0              -0.018         0              -0.03          0              -0.058         0              -0.09            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.0035         0              0.007          0           0.009       0           0.014       0           0.02        0           0.03        0           0.04  
30.09~35.47              0.0016         -0.002         0.0025         -0.002         0.004          -0.006         0.006          -0.006         0.006          -0.012         0.01           -0.012         0.0100         -0.02          0.016         -0.025          0.025          -0.04            0.0025          0             0.004           0             0.006           0             0.016           0             0.004          -0.001         0.01           -0.0035        0.016          -0.007         0.016          -0.012         0.025          -0.02          0.04           -0.03          0.06           -0.045           E               E             E               E             E              E              E              E              E              E              E               E                 0.0025         E              0.004          0.007          0.004          0.0115         0.0025      0.0116      0.004       0.0205      0.004       0.0275      0.004       0.0375      0.006       0.054 
30.09~35.47              0              -0.003         0              -0.0036        0              -0.0085        0              -0.01          0              -0.016         0              -0.018         0              -0.026         0             -0.035          0              -0.056           0              -0.0016        0              -0.0025        0              -0.004         0              -0.01          0              -0.0035        0              -0.0095        0              -0.017         0              -0.022         0              -0.036         0              -0.07          0              -0.105           E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.0045         0              0.0009         0           0.01        0           0.018       0           0.025       0           0.035       0           0.05  
35.47~41.49              0.0016         -0.002         0.0025         -0.002         0.004          -0.006         0.006          -0.006         0.006          -0.012         0.01           -0.012         0.0100         -0.02          0.016         -0.025          0.025          -0.04            0.0025          0             0.004           0             0.006           0             0.016           0             0.004          -0.001         0.01           -0.0035        0.016          -0.007         0.016          -0.012         0.025          -0.02          0.04           -0.03          0.06           -0.045           E               E             E               E             E              E              E              E              E              E              E               E                 0.0025         E              0.004          0.007          0.004          0.0115         0.0025      0.0136      0.004       0.0225      0.004       0.0305      0.004       0.0435      0.006       0.064 
35.47~41.49              0              -0.003         0              -0.0036        0              -0.0085        0              -0.01          0              -0.016         0              -0.018         0              -0.026         0             -0.035          0              -0.056           0              -0.0016        0              -0.0025        0              -0.004         0              -0.01          0              -0.0035        0              -0.0095        0              -0.017         0              -0.022         0              -0.036         0              -0.07          0              -0.105           E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.0045         0              0.0009         0           0.012       0           0.02        0           0.028       0           0.04        0           0.06  
41.49~48.28              0.002          -0.0025        0.003          -0.0025        0.005          -0.008         0.008          -0.008         0.008          -0.016         0.012          -0.016         0.012          -0.025         0.02          -0.03           0.03           -0.05            0.003           0             0.005           0             0.008           0             0.02            0             0.005          -0.0012        0.012          -0.004         0.02           -0.008         0.02           -0.014         0.03           -0.025         0.05           -0.04          0.08           -0.06            E               E             E               E             E              E              E              E              E              E              E               E                 0.003          E              0.005          0.009          0.005          0.015          0.003       0.016       0.005       0.025       0.005       0.038       0.005       0.053       0.008       0.075 
41.49~48.28              0              -0.0037        0              -0.0045        0              -0.011         0              -0.013         0              -0.021         0              -0.024         0              -0.033         0             -0.042          0              -0.07            0              -0.002         0              -0.003         0              -0.005         0              -0.012         0              -0.0042        0              -0.012         0              -0.02          0              -0.026         0              -0.045         0              -0.09          0              -0.14            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.006          0              0.012          0           0.014       0           0.022       0           0.035       0           0.05        0           0.07  
48.28~56.19              0.002          -0.0025        0.003          -0.0025        0.005          -0.008         0.008          -0.008         0.008          -0.016         0.012          -0.016         0.012          -0.025         0.02          -0.03           0.03           -0.05            0.003           0             0.005           0             0.008           0             0.02            0             0.005          -0.0012        0.012          -0.004         0.02           -0.008         0.02           -0.014         0.03           -0.025         0.05           -0.04          0.08           -0.06            E               E             E               E             E              E              E              E              E              E              E               E                 0.003          E              0.005          0.009          0.005          0.015          0.003       0.018       0.005       0.028       0.005       0.043       0.005       0.063       0.008       0.085 
48.28~56.19              0              -0.0037        0              -0.0045        0              -0.011         0              -0.013         0              -0.021         0              -0.024         0              -0.033         0             -0.042          0              -0.07            0              -0.002         0              -0.003         0              -0.005         0              -0.012         0              -0.0042        0              -0.012         0              -0.02          0              -0.026         0              -0.045         0              -0.09          0              -0.14            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.006          0              0.012          0           0.016       0           0.025       0           0.04        0           0.06        0           0.08  
56.19~65.54              0.0025         -0.003         0.004          -0.003         0.006          -0.01          0.01           -0.01          0.01           -0.02          0.016          -0.02          0.016          -0.03          0.025         -0.04           0.04           -0.06            0.004           0             0.006           0             0.01            0             0.025           0             0.006          -0.0012        0.016          -0.0045        0.025          -0.009         0.025          -0.016         0.04           -0.03          0.06           -0.05          0.1            -0.07            E               E             E               E             E              E              E              E              E              E              E               E                 0.004          E              0.006          0.011          0.006          0.02           0.004       0.0205      0.006       0.034       0.006       0.049       0.006       0.074       0.01        0.106 
56.19~65.54              0              -0.0046        0              -0.0055        0              -0.014         0              -0.016         0              -0.026         0              -0.03          0              -0.04          0             -0.056          0              -0.085           0              -0.0025        0              -0.004         0              -0.006         0              -0.016         0              -0.0052        0              -0.014         0              -0.025         0              -0.032         0              -0.055         0               0.11          0              -0.17            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.007          0              0.016          0           0.018       0           0.03        0           0.045       0           0.07        0           0.1   
65.54~76.39              0.0025         -0.003         0.004          -0.003         0.006          -0.01          0.01           -0.01          0.01           -0.02          0.016          -0.02          0.016          -0.03          0.025         -0.04           0.04           -0.06            0.004           0             0.006           0             0.01            0             0.025           0             0.006          -0.0012        0.016          -0.0045        0.025          -0.009         0.025          -0.016         0.04           -0.03          0.06           -0.05          0.1            -0.07            E               E             E               E             E              E              E              E              E              E              E               E                 0.004          E              0.006          0.011          0.006          0.02           0.004       0.0245      0.006       0.039       0.006       0.054       0.006       0.084       0.01        0.126 
65.54~76.39              0              -0.0046        0              -0.0055        0              -0.014         0              -0.016         0              -0.026         0              -0.03          0              -0.04          0             -0.056          0              -0.085           0              -0.0025        0              -0.004         0              -0.006         0              -0.016         0              -0.0052        0              -0.014         0              -0.025         0              -0.032         0              -0.055         0               0.11          0              -0.17            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.007          0              0.016          0           0.022       0           0.035       0           0.05        0           0.08        0           0.12  
76.39~87.79              0.003          -0.004         0.005          -0.004         0.008          -0.012         0.012          -0.012         0.012          -0.025         0.02           -0.025         0.02           -0.04          0.03          -0.05           0.05           -0.08            0.005           0             0.008           0             0.012           0             0.03            0             0.008          -0.0014        0.02           -0.005         0.03           -0.01          0.03           -0.018         0.05           -0.035         0.08           -0.05          0.125          -0.08            E               E             E               E             E              E              E              E              E              E              E               E                 0.005          E              0.008          0.014          0.008          0.025          0.005       0.028       0.008       0.045       0.008       0.065       0.008       0.095       0.012       0.148 
76.39~87.79              0              -0.006         0              -0.007         0              -0.017         0              -0.02          0              -0.033         0              -0.037         0              -0.052         0             -0.07           0              -0.11            0              -0.003         0              -0.005         0              -0.008         0              -0.02          0              -0.0064        0              -0.017         0              -0.03          0              -0.038         0              -0.065         0              -0.13          0              -0.205           E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.009          0              0.02           0           0.025       0           0.04        0           0.06        0           0.09        0           0.14  
87.79~100.9              0.003          -0.004         0.005          -0.004         0.008          -0.012         0.012          -0.012         0.012          -0.025         0.02           -0.025         0.02           -0.04          0.03          -0.05           0.05           -0.08            0.005           0             0.008           0             0.012           0             0.03            0             0.008          -0.0014        0.02           -0.005         0.03           -0.01          0.03           -0.018         0.05           -0.035         0.08           -0.05          0.125          -0.08            E               E             E               E             E              E              E              E              E              E              E               E                 0.005          E              0.008          0.014          0.008          0.025          0.005       0.031       0.008       0.05        0.008       0.075       0.008       0.105       0.012       0.168 
87.79~100.9              0              -0.006         0              -0.007         0              -0.017         0              -0.02          0              -0.033         0              -0.037         0              -0.052         0             -0.07           0              -0.11            0              -0.003         0              -0.005         0              -0.008         0              -0.02          0              -0.0064        0              -0.017         0              -0.03          0              -0.038         0              -0.065         0              -0.13          0              -0.205           E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.009          0              0.02           0           0.028       0           0.045       0           0.07        0           0.1         0           0.16  
100.9~115.3              0.004          -0.005         0.006          -0.005         0.01           -0.016         0.016          -0.016         0.016          -0.03          0.025          -0.03          0.025          -0.05          0.04          -0.06           0.06           -0.1             0.006           0             0.01            0             0.016           0             0.04            0             0.01           -0.0016        0.025          -0.006         0.04           -0.012         0.04           -0.02          0.06           -0.04          0.1            -0.06          0.16           -0.09            E               E             E               E             E              E              E              E              E              E              E               E                 0.006          E              0.01           0.018          0.01           0.031          0.006       0.034       0.01        0.056       0.01        0.086       0.01        0.126       0.016       0.19  
100.9~115.3              0              -0.0075        0              -0.009         0              -0.022         0              -0.026         0              -0.04          0              -0.046         0              -0.066         0             -0.085          0              -0.14            0              -0.004         0              -0.006         0              -0.01          0              -0.025         0              -0.0076        0              -0.022         0              -0.027         0              -0.045         0              -0.08          0              -0.16          0              -0.25            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.012          0              0.025          0           0.03        0           0.05        0           0.08        0           0.12        0           0.18  
115.3~131.9              0.004          -0.005         0.006          -0.005         0.01           -0.016         0.016          -0.016         0.016          -0.03          0.025          -0.03          0.025          -0.05          0.04          -0.06           0.06           -0.1             0.006           0             0.01            0             0.016           0             0.04            0             0.01           -0.0016        0.025          -0.006         0.04           -0.012         0.04           -0.02          0.06           -0.04          0.1            -0.06          0.16           -0.09            E               E             E               E             E              E              E              E              E              E              E               E                 0.006          E              0.01           0.018          0.01           0.031          0.006       0.039       0.01        0.066       0.01        0.096       0.01        0.146       0.016       0.21  
115.3~131.9              0              -0.0075        0              -0.009         0              -0.022         0              -0.026         0              -0.04          0              -0.046         0              -0.066         0             -0.085          0              -0.14            0              -0.004         0              -0.006         0              -0.01          0              -0.025         0              -0.0076        0              -0.022         0              -0.027         0              -0.045         0              -0.08          0              -0.16          0              -0.25            E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.012          0              0.025          0           0.035       0           0.06        0           0.09        0           0.14        0           0.2   
131.9~152.2              0.005          -0.006         0.008          -0.006         0.012          -0.018         0.02           -0.018         0.02           -0.035         0.03           -0.035         0.03           -0.06          0.05          -0.08           0.08           -0.13            0.008           0             0.012           0             0.02            0             0.05            0             0.012          -0.0018        0.03           -0.007         0.05           -0.014         0.05           -0.025         0.08           -0.05          0.125          -0.08          0.2            -0.1             E               E             E               E             E              E              E              E              E              E              E               E                 0.008          E              0.012          0.024          0.012          0.038          0.008       0.05        0.012       0.078       0.012       0.108       0.012       0.168       0.02        0.232 
131.9~152.2              0              -0.009         0              -0.011         0              -0.026         0              -0.03          0              -0.047         0              -0.055         0              -0.08          0             -0.11           0              -0.18            0              -0.005         0              -0.008         0              -0.012         0              -0.03          0              -0.0098        0              -0.027         0              -0.044         0              -0.055         0              -0.1           0              -0.205         0              -0.3             E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.016          0              0.03           0           0.045       0           0.07        0           0.1         0           0.16        0           0.22  
152.2~171.9              0.005          -0.006         0.008          -0.006         0.012          -0.018         0.02           -0.018         0.02           -0.035         0.03           -0.035         0.03           -0.06          0.05          -0.08           0.08           -0.13            0.008           0             0.012           0             0.02            0             0.05            0             0.012          -0.0018        0.03           -0.007         0.05           -0.014         0.05           -0.025         0.08           -0.05          0.125          -0.08          0.2            -0.1             E               E             E               E             E              E              E              E              E              E              E               E                 0.008          E              0.012          0.024          0.012          0.038          0.008       0.055       0.012       0.088       0.012       0.128       0.012       0.188       0.02        0.262 
152.2~171.9              0              -0.009         0              -0.011         0              -0.026         0              -0.03          0              -0.047         0              -0.055         0              -0.08          0             -0.11           0              -0.18            0              -0.005         0              -0.008         0              -0.012         0              -0.03          0              -0.0098        0              -0.027         0              -0.044         0              -0.055         0              -0.1           0              -0.205         0              -0.3             E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.016          0              0.03           0           0.05        0           0.08        0           0.12        0           0.18        0           0.25  
171.9~200                0.006          -0.008         0.01           -0.008         0.016          -0.022         0.025          -0.022         0.025          -0.045         0.04           -0.045         0.04           -0.08          0.06          -0.1            0.1            -0.15            0.01            0             0.016           0             0.025           0             0.06            0             0.016          -0.0018        0.04           -0.007         0.06           -0.014         0.06           -0.025         0.1            -0.05          0.16           -0.09          0.25           -0.125           E               E             E               E             E              E              E              E              E              E              E               E                 0.01           E              0.016          0.03           0.016          0.05           0.01        0.066       0.016       0.1         0.016       0.15        0.016       0.21        0.025       0.316 
171.9~200                0              -0.012         0              -0.012         0              -0.032         0              -0.0380        0              -0.061         0              -0.07          0              -0.105         0             -0.14           0              -0.21            0              -0.006         0              -0.01          0              -0.016         0              -0.04          0              -0.0118        0              -0.032         0              -0.054         0              -0.065         0              -0.11          0              -0.25          0              -0.375           E               E             E               E             E              E              E              E              E              E              E               E                 0              E              0              0.02           0              0.04           0           0.06        0           0.09        0           0.14        0           0.2         0           0.3   
