!
!
! Shaft  g  6
! Hole   H  7
!
Key               D_6      D_7      D_8       D_9       D_10      D_11      D_12      D_13     E_5      E_6      E_7       E_8       E_9      E_10     F_3      F_4      F_5       F_6       F_7      F_8      F_9      F_10    G_3      G_4      G_5       G_6       G_7      G_8      G_9      G_10    H_1      H_2      H_3       H_4       H_5      H_6      H_7      H_8      H_9      H_10      H_11      H_12      H_13      H_14      H_15      H_16      H_17      H_18      JS_1      JS_2      JS_3       JS_4       JS_5      JS_6      JS_7      JS_8     JS_9     JS_10     JS_11     JS_12     JS_13     JS_14     JS_15     JS_16     JS_17     JS_18     K_3      K_4      K_5       K_6       K_7      K_8      K_9      K_10    M_3      M_4      M_5       M_6       M_7      M_8      M_9      M_10    N_3      N_4      N_5       N_6       N_7      N_8      N_9      N_10      N_11    P_3      P_4      P_5       P_6       P_7      P_8      P_9      P_10    R_6      R_7      R_8      S_6      S_7      S_8      T_6      T_7      T_8      U_6      U_7      U_8      d_5      d_6      d_7       d_8       d_9      d_10      d_11      d_12      d_13    e_5      e_6      e_7       e_8       e_9      e_10     f_3      f_4      f_5       f_6       f_7      f_8      f_9      f_10    g_3      g_4      g_5       g_6       g_7      g_8      g_9      g_10    h_1      h_2      h_3       h_4       h_5      h_6      h_7      h_8     h_9     h_10     h_11     h_12     h_13     h_14     h_15     h_16     h_17     h_18      js_1      js_2      js_3       js_4       js_5      js_6      js_7      js_8     js_9     js_10     js_11     js_12     js_13     js_14     js_15     js_16     js_17     js_18     k_3      k_4      k_5       k_6       k_7      k_8      k_9      k_10      k_11      k_12      k_13     m_3      m_4      m_5       m_6       m_7      m_8      m_9    n_3      n_4      n_5       n_6       n_7      n_8      n_9    p_3      p_4      p_5       p_6       p_7      p_8      p_9      p_10    r_6      r_7      r_8      s_6      s_7      s_8      t_6      t_7      u_6      u_7      u_8  
Basic size(mm)
800~900           0.320    0.320    0.320     0.320     0.320     0.320     0.320     0.320    E        0.170    0.170     0.170     0.170    0.170    E        E        E         0.086     0.086    0.086    0.086    E       E        E        E         0.026     0.026    0.026    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0055   -0.0075   -0.0105    -0.014     -0.020    -0.028    -0.045    -0.070   -0.115   -0.180    -0.280    -0.450    -0.700    -1.150    -1.800    -2.800    -4.500    -7.000     E        E        E        -0.056    -0.090   -0.140    E        E       E        E        E        -0.090    -0.124   -0.174    E        E       E        E        E        -0.112    -0.146   -0.196   -0.286    E         E       E        E        E        -0.156    -0.190   -0.240   -0.330    E      -0.266   -0.300   -0.350   -0.486   -0.520   -0.570   -0.676   -0.710   -0.760   -0.996   -1.030   -1.080    E        E       -0.410    -0.460    -0.550   -0.680    -0.880     E         E       E       -0.226   -0.260    -0.310    -0.400   -0.530    E        E        E        -0.142    -0.176   -0.226   -0.316    E       E        E        E        -0.082    -0.116   -0.166    E        E      -0.011   -0.015   -0.021    -0.028    -0.040   -0.056   -0.090   -0.140  -0.230  -0.360   -0.560   -0.900   -1.400   -2.300   -3.600   -5.600   -9.000   -14.000   -0.0055   -0.0075   -0.0105    -0.014     -0.020    -0.028    -0.045    -0.070   -0.115   -0.180    -0.280    -0.450    -0.700    -1.150    -1.800    -2.800    -4.500    -7.000     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.034     0.034    E        E      E        E        E         0.056     0.056    E        E      E        E        E         0.100     0.100    0.100    E        E       0.210    0.210    0.210    0.430    0.430    0.430    0.620    0.620    0.940    0.940    0.940
900~1000          0.376    0.410    0.460     0.550     0.680     0.880     1.220     1.720    E        0.226    0.260     0.310     0.400    0.530    E        E        E         0.142     0.176    0.226    0.316    E       E        E        E         0.082     0.116    0.166    E        E       0.011    0.015    0.021     0.028     0.040    0.056    0.090    0.140    0.230    0.360     0.560     0.900     1.400     2.300     3.600     5.600     9.000     14.000    0.0055    0.0075    0.0105     0.014      0.020     0.028     0.045     0.070    0.115    0.180     0.280     0.450     0.700     1.150     1.800     2.800     4.500     7.000     E        E        E         0         0        0        E        E       E        E        E        -0.034    -0.034   -0.034    E        E       E        E        E        -0.056    -0.056   -0.056   -0.056    E         E       E        E        E        -0.100    -0.100   -0.100   -0.100    E      -0.220   -0.220   -0.220   -0.470   -0.470   -0.470   -0.680   -0.680   -0.680   -1.050   -1.050   -1.050    E        E       -0.320    -0.320    -0.320   -0.320    -0.320     E         E       E       -0.170   -0.170    -0.170    -0.170   -0.170    E        E        E        -0.086    -0.086   -0.086   -0.086    E       E        E        E        -0.026    -0.026   -0.026    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0055    0.0075    0.0105     0.014      0.020     0.028     0.045     0.070    0.115    0.180     0.280     0.450     0.700     1.150     1.800     2.800     4.500     7.000     E        E        E         0.056     0.090    0.140    0.230    0.360     0.560     0.900     1.400    E        E        E         0.090     0.124    E        E      E        E        E         0.112     0.146    E        E      E        E        E         0.156     0.190    0.240    E        E       0.276    0.310    0.360    0.526    0.560    0.610    0.736    0.770    1.106    1.140    1.190
900~1000          0.320    0.320    0.320     0.320     0.320     0.320     0.320     0.320    E        0.170    0.170     0.170     0.170    0.170    E        E        E         0.086     0.086    0.086    0.086    E       E        E        E         0.026     0.026    0.026    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0055   -0.0075   -0.0105    -0.014     -0.020    -0.028    -0.045    -0.070   -0.115   -0.180    -0.280    -0.450    -0.700    -1.150    -1.800    -2.800    -4.500    -7.000     E        E        E        -0.056    -0.090   -0.140    E        E       E        E        E        -0.090    -0.124   -0.174    E        E       E        E        E        -0.112    -0.146   -0.196   -0.286    E         E       E        E        E        -0.156    -0.190   -0.240   -0.330    E      -0.276   -0.310   -0.360   -0.526   -0.560   -0.610   -0.736   -0.770   -0.820   -1.106   -1.140   -1.190    E        E       -0.410    -0.460    -0.550   -0.680    -0.880     E         E       E       -0.226   -0.260    -0.310    -0.400   -0.530    E        E        E        -0.142    -0.176   -0.226   -0.316    E       E        E        E        -0.082    -0.116   -0.166    E        E      -0.011   -0.015   -0.021    -0.028    -0.040   -0.056   -0.090   -0.140  -0.230  -0.360   -0.560   -0.900   -1.400   -2.300   -3.600   -5.600   -9.000   -14.000   -0.0055   -0.0075   -0.0105    -0.014     -0.020    -0.028    -0.045    -0.070   -0.115   -0.180    -0.280    -0.450    -0.700    -1.150    -1.800    -2.800    -4.500    -7.000     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.034     0.034    E        E      E        E        E         0.056     0.056    E        E      E        E        E         0.100     0.100    0.100    E        E       0.220    0.220    0.220    0.470    0.470    0.470    0.680    0.680    1.050    1.050    1.050
1000~1120         0.416    0.455    0.515     0.610     0.770     1.010     1.400     2.000    E        0.261    0.300     0.360     0.455    0.615    E        E        E         0.164     0.203    0.263    0.358    E       E        E        E         0.094     0.133    0.193    E        E       0.013    0.018    0.024     0.033     0.047    0.066    0.105    0.165    0.260    0.420     0.660     1.050     1.650     2.600     4.200     6.600     10.500    16.500    0.0065    0.009     0.012      0.0165     0.0235    0.033     0.0525    0.0825   0.130    0.210     0.330     0.525     0.825     1.300     2.100     3.300     5.250     8.250     E        E        E         0         0        0        E        E       E        E        E        -0.040    -0.040   -0.040    E        E       E        E        E        -0.066    -0.066   -0.066   -0.066    E         E       E        E        E        -0.120    -0.120   -0.120   -0.120    E      -0.250   -0.250   -0.250   -0.520   -0.520   -0.520   -0.780   -0.780   -0.780   -1.150   -1.150   -1.150    E        E       -0.350    -0.350    -0.350   -0.350    -0.350     E         E       E       -0.195   -0.195    -0.195    -0.195   -0.195    E        E        E        -0.098    -0.098   -0.098   -0.098    E       E        E        E        -0.028    -0.028   -0.028    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0065    0.009     0.012      0.0165     0.0235    0.033     0.0525    0.0825   0.130    0.210     0.330     0.525     0.825     1.300     2.100     3.300     5.250     8.250     E        E        E         0.066     0.105    0.165    0.260    0.420     0.660     1.050     1.650    E        E        E         0.106     0.145    E        E      E        E        E         0.132     0.171    E        E      E        E        E         0.186     0.225    0.285    E        E       0.316    0.355    0.415    0.586    0.625    0.685    0.846    0.885    1.216    1.255    1.315
1000~1120         0.350    0.350    0.350     0.350     0.350     0.350     0.350     0.350    E        0.195    0.195     0.195     0.195    0.195    E        E        E         0.098     0.098    0.098    0.098    E       E        E        E         0.028     0.028    0.028    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0065   -0.009    -0.012     -0.0165    -0.0235   -0.033    -0.0525   -0.0825  -0.130   -0.210    -0.330    -0.525    -0.825    -1.300    -2.100    -3.300    -5.250    -8.250     E        E        E        -0.066    -0.105   -0.165    E        E       E        E        E        -0.106    -0.145   -0.205    E        E       E        E        E        -0.132    -0.171   -0.231   -0.326    E         E       E        E        E        -0.186    -0.225   -0.285   -0.380    E      -0.316   -0.355   -0.415   -0.586   -0.625   -0.685   -0.846   -0.885   -0.945   -1.216   -1.255   -1.315    E        E       -0.455    -0.515    -0.610   -0.770    -1.010     E         E       E       -0.261   -0.300    -0.360    -0.455   -0.615    E        E        E        -0.164    -0.203   -0.263   -0.358    E       E        E        E        -0.094    -0.133   -0.193    E        E      -0.013   -0.018   -0.024    -0.033    -0.047   -0.066   -0.105   -0.165  -0.260  -0.420   -0.660   -1.050   -1.650   -2.600   -4.200   -6.600   -10.500  -16.500   -0.0065   -0.009    -0.012     -0.0165    -0.0235   -0.033    -0.0525   -0.0825  -0.130   -0.210    -0.330    -0.525    -0.825    -1.300    -2.100    -3.300    -5.250    -8.250     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.040     0.040    E        E      E        E        E         0.066     0.066    E        E      E        E        E         0.120     0.120    0.120    E        E       0.250    0.250    0.250    0.520    0.520    0.520    0.780    0.780    1.150    1.150    1.150
1120~1250         0.416    0.455    0.515     0.610     0.770     1.010     1.400     2.000    E        0.261    0.300     0.360     0.455    0.615    E        E        E         0.164     0.203    0.263    0.358    E       E        E        E         0.094     0.133    0.193    E        E       0.013    0.018    0.024     0.033     0.047    0.066    0.105    0.165    0.260    0.420     0.660     1.050     1.650     2.600     4.200     6.600     10.500    16.500    0.0065    0.009     0.012      0.0165     0.0235    0.033     0.0525    0.0825   0.130    0.210     0.330     0.525     0.825     1.300     2.100     3.300     5.250     8.250     E        E        E         0         0        0        E        E       E        E        E        -0.040    -0.040   -0.040    E        E       E        E        E        -0.066    -0.066   -0.066   -0.066    E         E       E        E        E        -0.120    -0.120   -0.120   -0.120    E      -0.260   -0.260   -0.260   -0.580   -0.580   -0.580   -0.840   -0.840   -0.840   -1.300   -1.300   -1.300    E        E       -0.350    -0.350    -0.350   -0.350    -0.350     E         E       E       -0.195   -0.195    -0.195    -0.195   -0.195    E        E        E        -0.098    -0.098   -0.098   -0.098    E       E        E        E        -0.028    -0.028   -0.028    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0065    0.009     0.012      0.0165     0.0235    0.033     0.0525    0.0825   0.130    0.210     0.330     0.525     0.825     1.300     2.100     3.300     5.250     8.250     E        E        E         0.066     0.105    0.165    0.260    0.420     0.660     1.050     1.650    E        E        E         0.106     0.145    E        E      E        E        E         0.132     0.171    E        E      E        E        E         0.186     0.225    0.285    E        E       0.326    0.365    0.425    0.646    0.685    0.745    0.906    0.945    1.366    1.405    1.465
1120~1250         0.350    0.350    0.350     0.350     0.350     0.350     0.350     0.350    E        0.195    0.195     0.195     0.195    0.195    E        E        E         0.098     0.098    0.098    0.098    E       E        E        E         0.028     0.028    0.028    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0065   -0.009    -0.012     -0.0165    -0.0235   -0.033    -0.0525   -0.0825  -0.130   -0.210    -0.330    -0.525    -0.825    -1.300    -2.100    -3.300    -5.250    -8.250     E        E        E        -0.066    -0.105   -0.165    E        E       E        E        E        -0.106    -0.145   -0.205    E        E       E        E        E        -0.132    -0.171   -0.231   -0.326    E         E       E        E        E        -0.186    -0.225   -0.285   -0.380    E      -0.326   -0.365   -0.425   -0.646   -0.685   -0.745   -0.906   -0.945   -1.005   -1.366   -1.405   -1.465    E        E       -0.455    -0.515    -0.610   -0.770    -1.010     E         E       E       -0.261   -0.300    -0.360    -0.455   -0.615    E        E        E        -0.164    -0.203   -0.263   -0.358    E       E        E        E        -0.094    -0.133   -0.193    E        E      -0.013   -0.018   -0.024    -0.033    -0.047   -0.066   -0.105   -0.165  -0.260  -0.420   -0.660   -1.050   -1.650   -2.600   -4.200   -6.600   -10.500  -16.500   -0.0065   -0.009    -0.012     -0.0165    -0.0235   -0.033    -0.0525   -0.0825  -0.130   -0.210    -0.330    -0.525    -0.825    -1.300    -2.100    -3.300    -5.250    -8.250     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.040     0.040    E        E      E        E        E         0.066     0.066    E        E      E        E        E         0.120     0.120    0.120    E        E       0.260    0.260    0.260    0.580    0.580    0.580    0.840    0.840    1.300    1.300    1.300
1250~1400         0.468    0.515    0.585     0.700     0.890     1.170     1.640     2.340    E        0.298    0.345     0.415     0.530    0.720    E        E        E         0.188     0.235    0.305    0.420    E       E        E        E         0.108     0.155    0.225    E        E       0.015    0.021    0.029     0.039     0.055    0.078    0.125    0.195    0.310    0.500     0.780     1.250     1.950     3.100     5.000     7.800     12.500    19.500    0.0075    0.0105    0.0145     0.0195     0.0275    0.039     0.0625    0.0975   0.155    0.250     0.390     0.625     0.975     1.550     2.500     3.900     6.250     9.750     E        E        E         0         0        0        E        E       E        E        E        -0.048    -0.048   -0.048    E        E       E        E        E        -0.078    -0.078   -0.078   -0.078    E         E       E        E        E        -0.140    -0.140   -0.140   -0.140    E      -0.300   -0.300   -0.300   -0.640   -0.640   -0.640   -0.960   -0.960   -0.960   -1.450   -1.450   -1.450    E        E       -0.390    -0.390    -0.390   -0.390    -0.390     E         E       E       -0.220   -0.220    -0.220    -0.220   -0.220    E        E        E        -0.110    -0.110   -0.110   -0.110    E       E        E        E        -0.030    -0.030   -0.030    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0075    0.0105    0.0145     0.0195     0.0275    0.039     0.0625    0.0975   0.155    0.250     0.390     0.625     0.975     1.550     2.500     3.900     6.250     9.750     E        E        E         0.078     0.125    0.195    0.310    0.500     0.780     1.250     1.950    E        E        E         0.126     0.173    E        E      E        E        E         0.156     0.203    E        E      E        E        E         0.218     0.265    0.335    E        E       0.378    0.425    0.495    0.718    0.765    0.835    1.038    1.085    1.528    1.575    1.645
1250~1400         0.390    0.390    0.390     0.390     0.390     0.390     0.390     0.390    E        0.220    0.220     0.220     0.220    0.220    E        E        E         0.110     0.110    0.110    0.110    E       E        E        E         0.030     0.030    0.030    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0075   -0.0105   -0.0145    -0.0195    -0.0275   -0.039    -0.0625   -0.0975  -0.155   -0.250    -0.390    -0.625    -0.975    -1.550    -2.500    -3.900    -6.250    -9.750     E        E        E        -0.078    -0.125   -0.195    E        E       E        E        E        -0.126    -0.173   -0.243    E        E       E        E        E        -0.156    -0.203   -0.273   -0.388    E         E       E        E        E        -0.218    -0.265   -0.335   -0.450    E      -0.378   -0.425   -0.495   -0.718   -0.765   -0.835   -1.038   -1.085   -1.155   -1.528   -1.575   -1.645    E        E       -0.515    -0.585    -0.700   -0.890    -1.170     E         E       E       -0.298   -0.345    -0.415    -0.530   -0.720    E        E        E        -0.188    -0.235   -0.305   -0.420    E       E        E        E        -0.108    -0.155   -0.225    E        E      -0.015   -0.021   -0.029    -0.039    -0.055   -0.078   -0.125   -0.195  -0.310  -0.500   -0.780   -1.250   -1.950   -3.100   -5.000   -7.800   -12.500  -19.500   -0.0075   -0.0105   -0.0145    -0.0195    -0.0275   -0.039    -0.0625   -0.0975  -0.155   -0.250    -0.390    -0.625    -0.975    -1.550    -2.500    -3.900    -6.250    -9.750     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.048     0.048    E        E      E        E        E         0.156     0.203    E        E      E        E        E         0.140     0.140    0.140    E        E       0.300    0.300    0.300    0.640    0.640    0.640    0.960    0.960    1.450    1.450    1.450
1400~1600         0.468    0.515    0.585     0.700     0.890     1.170     1.640     2.340    E        0.298    0.345     0.415     0.530    0.720    E        E        E         0.188     0.235    0.305    0.420    E       E        E        E         0.108     0.155    0.225    E        E       0.015    0.021    0.029     0.039     0.055    0.078    0.125    0.195    0.310    0.500     0.780     1.250     1.950     3.100     5.000     7.800     12.500    19.500    0.0075    0.0105    0.0145     0.0195     0.0275    0.039     0.0625    0.0975   0.155    0.250     0.390     0.625     0.975     1.550     2.500     3.900     6.250     9.750     E        E        E         0         0        0        E        E       E        E        E        -0.048    -0.048   -0.048    E        E       E        E        E        -0.078    -0.078   -0.078   -0.078    E         E       E        E        E        -0.140    -0.140   -0.140   -0.140    E      -0.330   -0.330   -0.330   -0.720   -0.720   -0.720   -1.050   -1.050   -1.050   -1.600   -1.600   -1.600    E        E       -0.390    -0.390    -0.390   -0.390    -0.390     E         E       E       -0.220   -0.220    -0.220    -0.220   -0.220    E        E        E        -0.110    -0.110   -0.110   -0.110    E       E        E        E        -0.030    -0.030   -0.030    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.0075    0.0105    0.0145     0.0195     0.0275    0.039     0.0625    0.0975   0.155    0.250     0.390     0.625     0.975     1.550     2.500     3.900     6.250     9.750     E        E        E         0.078     0.125    0.195    0.310    0.500     0.780     1.250     1.950    E        E        E         0.126     0.173    E        E      E        E        E         0.156     0.203    E        E      E        E        E         0.218     0.265    0.335    E        E       0.408    0.455    0.525    0.798    0.845    0.915    1.128    1.175    1.678    1.725    1.795
1400~1600         0.390    0.390    0.390     0.390     0.390     0.390     0.390     0.390    E        0.220    0.220     0.220     0.220    0.220    E        E        E         0.110     0.110    0.110    0.110    E       E        E        E         0.030     0.030    0.030    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.0075   -0.0105   -0.0145    -0.0195    -0.0275   -0.039    -0.0625   -0.0975  -0.155   -0.250    -0.390    -0.625    -0.975    -1.550    -2.500    -3.900    -6.250    -9.750     E        E        E        -0.078    -0.125   -0.195    E        E       E        E        E        -0.126    -0.173   -0.243    E        E       E        E        E        -0.156    -0.203   -0.273   -0.388    E         E       E        E        E        -0.218    -0.265   -0.335   -0.450    E      -0.408   -0.455   -0.525   -0.798   -0.845   -0.915   -1.128   -1.175   -1.245   -1.678   -1.725   -1.795    E        E       -0.515    -0.585    -0.700   -0.890    -1.170     E         E       E       -0.298   -0.345    -0.415    -0.530   -0.720    E        E        E        -0.188    -0.235   -0.305   -0.420    E       E        E        E        -0.108    -0.155   -0.225    E        E      -0.015   -0.021   -0.029    -0.039    -0.055   -0.078   -0.125   -0.195  -0.310  -0.500   -0.780   -1.250   -1.950   -3.100   -5.000   -7.800   -12.500  -19.500   -0.0075   -0.0105   -0.0145    -0.0195    -0.0275   -0.039    -0.0625   -0.0975  -0.155   -0.250    -0.390    -0.625    -0.975    -1.550    -2.500    -3.900    -6.250    -9.750     E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.048     0.048    E        E      E        E        E         0.156     0.203    E        E      E        E        E         0.140     0.140    0.140    E        E       0.330    0.330    0.330    0.720    0.720    0.720    1.050    1.050    1.600    1.600    1.600
1600~1800         0.522    0.580    0.660     0.800     1.030     1.350     1.930     2.730    E        0.332    0.390     0.470     0.610    0.840    E        E        E         0.212     0.270    0.350    0.490    E       E        E        E         0.124     0.182    0.262    E        E       0.018    0.025    0.035     0.046     0.065    0.092    0.150    0.230    0.370    0.600     0.920     1.500     2.300     3.700     6.000     9.200     15.000    23.000    0.009     0.0125    0.0175     0.023      0.0325    0.046     0.075     0.115    0.185    0.300     0.460     0.750     1.150     1.850     3.000     4.600     7.500     11.500    E        E        E         0         0        0        E        E       E        E        E        -0.058    -0.058   -0.058    E        E       E        E        E        -0.092    -0.092   -0.092   -0.092    E         E       E        E        E        -0.170    -0.170   -0.170   -0.170    E      -0.370   -0.370   -0.370   -0.820   -0.820   -0.820   -1.200   -1.200   -1.200   -1.850   -1.850   -1.850    E        E       -0.430    -0.430    -0.430   -0.430    -0.430     E         E       E       -0.240   -0.240    -0.240    -0.240   -0.240    E        E        E        -0.120    -0.120   -0.120   -0.120    E       E        E        E        -0.032    -0.032   -0.032    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.009     0.0125    0.0175     0.023      0.0325    0.046     0.075     0.115    0.185    0.300     0.460     0.750     1.150     1.850     3.000     4.600     7.500     11.500    E        E        E         0.092     0.150    0.230    0.370    0.600     0.920     1.500     2.300    E        E        E         0.150     0.208    E        E      E        E        E         0.184     0.242    E        E      E        E        E         0.262     0.320    0.400    E        E       0.462    0.520    0.600    0.912    0.970    1.050    1.292    1.350    1.942    2.000    2.080
1600~1800         0.430    0.430    0.430     0.430     0.430     0.430     0.430     0.430    E        0.240    0.240     0.240     0.240    0.240    E        E        E         0.120     0.120    0.120    0.120    E       E        E        E         0.032     0.032    0.032    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.009    -0.0125   -0.0175    -0.023     -0.0325   -0.046    -0.075    -0.115   -0.185   -0.300    -0.460    -0.750    -1.150    -1.850    -3.000    -4.600    -7.500    -11.500    E        E        E        -0.092    -0.150   -0.230    E        E       E        E        E        -0.058    -0.058   -0.058    E        E       E        E        E        -0.184    -0.242   -0.322   -0.462    E         E       E        E        E        -0.262    -0.320   -0.400   -0.540    E      -0.462   -0.520   -0.600   -0.912   -0.970   -1.050   -1.292   -1.350   -1.430   -1.942   -2.000   -2.080    E        E       -0.580    -0.660    -0.800   -1.030    -1.350     E         E       E       -0.332   -0.390    -0.470    -0.610   -0.840    E        E        E        -0.212    -0.270   -0.350   -0.490    E       E        E        E        -0.124    -0.182   -0.262    E        E      -0.018   -0.025   -0.035    -0.046    -0.065   -0.092   -0.150   -0.230  -0.370  -0.600   -0.920   -1.500   -2.300   -3.700   -6.000   -9.200   -15.000  -23.000   -0.009    -0.0125   -0.0175    -0.023     -0.0325   -0.046    -0.075    -0.115   -0.185   -0.300    -0.460    -0.750    -1.150    -1.850    -3.000    -4.600    -7.500    -11.500    E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.058     0.058    E        E      E        E        E         0.092     0.092    E        E      E        E        E         0.170     0.170    0.170    E        E       0.370    0.370    0.370    0.820    0.820    0.820    1.200    1.200    1.850    1.850    1.850
1800~2000         0.522    0.580    0.660     0.800     1.030     1.350     1.930     2.730    E        0.332    0.390     0.470     0.610    0.840    E        E        E         0.212     0.270    0.350    0.490    E       E        E        E         0.124     0.182    0.262    E        E       0.018    0.025    0.035     0.046     0.065    0.092    0.150    0.230    0.370    0.600     0.920     1.500     2.300     3.700     6.000     9.200     15.000    23.000    0.009     0.0125    0.0175     0.023      0.0325    0.046     0.075     0.115    0.185    0.300     0.460     0.750     1.150     1.850     3.000     4.600     7.500     11.500    E        E        E         0         0        0        E        E       E        E        E        -0.058    -0.058   -0.058    E        E       E        E        E        -0.092    -0.092   -0.092   -0.092    E         E       E        E        E        -0.170    -0.170   -0.170   -0.170    E      -0.400   -0.400   -0.400   -0.920   -0.920   -0.920   -1.350   -1.350   -1.350   -2.000   -2.000   -2.000    E        E       -0.430    -0.430    -0.430   -0.430    -0.430     E         E       E       -0.240   -0.240    -0.240    -0.240   -0.240    E        E        E        -0.120    -0.120   -0.120   -0.120    E       E        E        E        -0.032    -0.032   -0.032    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.009     0.0125    0.0175     0.023      0.0325    0.046     0.075     0.115    0.185    0.300     0.460     0.750     1.150     1.850     3.000     4.600     7.500     11.500    E        E        E         0.092     0.150    0.230    0.370    0.600     0.920     1.500     2.300    E        E        E         0.150     0.208    E        E      E        E        E         0.184     0.242    E        E      E        E        E         0.262     0.320    0.400    E        E       0.492    0.550    0.630    1.012    1.070    1.150    1.442    1.500    2.092    2.150    2.230
1800~2000         0.430    0.430    0.430     0.430     0.430     0.430     0.430     0.430    E        0.240    0.240     0.240     0.240    0.240    E        E        E         0.120     0.120    0.120    0.120    E       E        E        E         0.032     0.032    0.032    E        E       0        0        0         0         0        0        0        0        0        0         0         0         0         0         0         0         0         0        -0.009    -0.0125   -0.0175    -0.023     -0.0325   -0.046    -0.075    -0.115   -0.185   -0.300    -0.460    -0.750    -1.150    -1.850    -3.000    -4.600    -7.500    -11.500    E        E        E        -0.092    -0.150   -0.230    E        E       E        E        E        -0.058    -0.058   -0.058    E        E       E        E        E        -0.184    -0.242   -0.322   -0.462    E         E       E        E        E        -0.262    -0.320   -0.400   -0.540    E      -0.492   -0.550   -0.630   -1.012   -1.070   -1.150   -1.442   -1.500   -1.580   -2.092   -2.150   -2.230    E        E       -0.580    -0.660    -0.800   -1.030    -1.350     E         E       E       -0.332   -0.390    -0.470    -0.610   -0.840    E        E        E        -0.212    -0.270   -0.350   -0.490    E       E        E        E        -0.124    -0.182   -0.262    E        E      -0.018   -0.025   -0.035    -0.046    -0.065   -0.092   -0.150   -0.230  -0.370  -0.600   -0.920   -1.500   -2.300   -3.700   -6.000   -9.200   -15.000  -23.000   -0.009    -0.0125   -0.0175    -0.023     -0.0325   -0.046    -0.075    -0.115   -0.185   -0.300    -0.460    -0.750    -1.150    -1.850    -3.000    -4.600    -7.500    -11.500    E        E        E         0         0        0        0        0         0         0         0        E        E        E         0.058     0.058    E        E      E        E        E         0.092     0.092    E        E      E        E        E         0.170     0.170    0.170    E        E       0.400    0.400    0.400    0.920    0.920    0.920    1.350    1.350    2.000    2.000    2.000
2000~2240         0.590    0.655    0.760     0.920     1.180     1.580     2.230     3.280    E        0.370    0.435     0.540     0.700    0.960    E        E        E         0.240     0.305    0.410    0.570    E       E        E        E         0.144     0.209    0.314    E        E       0.022    0.030    0.041     0.055     0.078    0.110    0.175    0.280    0.440    0.700     1.100     1.750     2.800     4.400     7.000     11.000    17.500    28.000    0.011     0.015     0.0205     0.0275     0.039     0.055     0.0875    0.140    0.220    0.350     0.550     0.875     1.400     2.200     3.500     5.500     8.750     14.000    E        E        E         0         0        0        E        E       E        E        E        -0.068    -0.068   -0.068    E        E       E        E        E        -0.110    -0.110   -0.110   -0.110    E         E       E        E        E        -0.195    -0.195   -0.195   -0.195    E      -0.440   -0.440   -0.440   -1.000   -1.000   -1.000   -1.500   -1.500   -1.500   -2.300   -2.300   -2.300    E        E       -0.480    -0.480    -0.480   -0.480    -0.480     E         E       E       -0.260   -0.260    -0.260    -0.260   -0.260    E        E        E        -0.130    -0.130   -0.130   -0.130    E       E        E        E        -0.034    -0.034   -0.034    E        E       0        0        0         0         0        0        0        0       0       0        0        0        0        0        0        0        0        0         0.011     0.015     0.0205     0.0275     0.039     0.055     0.0875    0.140    0.220    0.350     0.550     0.875     1.400     2.200     3.500     5.500     8.750     14.000    E        E        E         0.110     0.175    0.280    0.440    0.700     1.100     1.750     2.800    E        E        E         0.178     0.243    E        E      E        E        E         0.220     0.285    E        E      E        E        E         0.305     0.370    0.475    E        E       0.550    0.615    0.720    1.110    1.175    1.280    1.610    1.675    2.410    2.475    2.580
